id	code	name_es	name_en	level	parent_id	level	Sp Length	En Length	name_short_es	name_short_en	sp short len	en short len
24	1224	Jueces de juzgado, directores y gerentes en servicios legales y procuración de justicia	Court judges, directors and managers of legal services and justice administration	4digit	22		87	81	Jueces, directivos en servicios legales y procuradores	Court judges, managers of legal and justice administration	54	58
25	1225	Comandantes de las fuerzas armadas	Commanders of the armed forces	4digit	22		34	30	Comandantes de las fuerzas armadas	Commanders of the armed forces	34	30
26	1226	Directores en servicios de vigilancia y seguridad	Directors in surveillance and security services	4digit	22		49	47	Directores en servicios de vigilancia y seguridad	Directors in surveillance and security services	49	47
27	13	Directores y gerentes en producción, tecnología y transporte	Directors and managers of production, technology and transport	2digit	0		60	62	Directores y gerentes en producción, tecnología y transporte	Managers of production, technology and transport	60	48
28	131	Directores y gerentes en producción agropecuaria, industrial, construcción y mantenimiento	Directors and managers of agricultural production, industry, construction and maintenance	3digit	31		90	89		Managers of agriculture, construction and maintenance	0	53
29	1311	Directores y gerentes en producción agropecuaria, silvícola y pesquera	Directors and managers of agricultural, forestry and fishing production	4digit	32		70	71		Managers of agricultural, forestry and fishing production	0	57
30	1312	Directores y gerentes en producción minera, petrolera y gas	Directors and managers of mining, oil and gas production	4digit	32		59	56	Directores y gerentes en producción minera, petrolera y gas	Managers of mining, oil and gas production	59	42
31	1313	Directores y gerentes en generación y provisión de energía eléctrica y agua	Directors and managers in generation and supply of electricity and water	4digit	32		75	72		Managers in generation and supply of electricity and water	0	58
32	1314	Directores y gerentes en producción manufacturera	Directors and managers of manufacturing	4digit	32		49	39	Directores y gerentes en producción manufacturera	Managers of manufacturing	49	25
33	1315	Directores y gerentes en construcción, reparación y mantenimiento	Directors and managers in construction, repair and maintenance	4digit	32		65	62		Managers in construction, repair and maintenance	0	48
34	132	Directores y gerentes en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico	Directors and managers in IT, telecommunications, transport and technological research and development	3digit	31		112	102		Managers in ICT, transport and technological R&D	0	48
35	1321	Directores y gerentes en informática	Directors and managers in informatics	4digit	39		36	37	Directores y gerentes en informática	Managers in informatics	36	23
36	1322	Directores y gerentes en comunicación y telecomunicaciones	Directors and managers in communication and telecommunications	4digit	39		58	62	Directores y gerentes en comunicación y telecomunicaciones	Managers in communication and telecommunications	58	48
37	1323	Directores y gerentes en servicios de transporte	Directors and managers in transport services	4digit	39		48	44	Directores y gerentes en servicios de transporte	Managers in transport services	48	30
38	1324	Directores y gerentes en centros de investigación y desarrollo tecnológico	Directors and managers in centers of technological research and development	4digit	39		74	75		Managers in centers of technological R&D	0	40
39	14	Directores y gerentes de ventas, restaurantes, hoteles y otros establecimientos	Directors and managers of sales, restaurants, hotels and other commercial establishments	2digit	0		79	88		Managers of commercial establishments	0	37
40	141	Directores y gerentes de ventas, restaurantes y hoteles	Directors and managers of sales, restaurants and hotels	3digit	45		55	55	Directores y gerentes de ventas, restaurantes y hoteles	Managers of sales, restaurants and hotels	55	41
41	1411	Directores y gerentes de ventas, comercialización y alquiler	Directors and managers of sales, marketing and rental	4digit	46		60	53	Directores y gerentes de ventas, comercialización y alquiler	Managers of sales, marketing and rental	60	39
42	1412	Directores y gerentes de restaurantes y hoteles	Directors and managers of restaurants and hotels	4digit	46		47	48	Directores y gerentes de restaurantes y hoteles	Managers of restaurants and hotels	47	34
43	142	Directores y gerentes de museos, cines y otros establecimientos	Directors and managers of museums, theaters and other institutions	3digit	45		63	66		Managers of museums, theaters and other institutions	0	52
44	1421	Directores y productores artísticos de cine, teatro y afines	Artistic directors and producers of films, theater and related subjects	4digit	49		60	71	Directores y productores artísticos de cine, teatro y afines	Artistic directors and producers of films and theater	60	53
45	1422	Directores y gerentes de museos, cines y otros establecimientos deportivos y culturales	Directors and managers of museums, theaters and other sports and cultural institutions	4digit	49		87	86		Managers of entertainment, sports and cultural institutions	0	59
46	1423	Directores y gerentes en servicios funerarios y otros servicios	Directors and managers of funeral and similar services	4digit	49		63	54		Managers of funeral and similar services	0	40
47	15	Coordinadores y jefes de área en servicios financieros, administrativos y sociales	Coordinators and area managers of financial, administrative and social services	2digit	0		82	79		Coordinators of financial, administrative and social services	0	61
48	151	Coordinadores y jefes de área en servicios financieros y administrativos	Coordinators and area managers of financial and administrative services	3digit	54		72	71		Coordinators of financial and administrative services	0	53
49	1511	Coordinadores y jefes de área en administración, recursos humanos y mercadotecnia	Coordinators and area managers of administration, human resources and marketing	4digit	55		81	79		Coordinators of administration, HR and marketing	0	48
50	1512	Coordinadores y jefes de área en servicios contables, financieros, banca y seguros	Coordinators and area managers of accounting, financial, banking and insurance services	4digit	55		82	87		Coordinators of banking and insurance services	0	46
51	152	Coordinadores y jefes de área en servicios de salud, enseñanza, sociales y jueces calificadores	Coordinators and area managers of health care, education, social services and qualifying judges	3digit	54		95	95		Coordinators of health care, education, and social services	0	59
52	1521	Coordinadores y jefes de área en servicios de salud, protección civil y medio ambiente	Coordinators and area managers of health services, civil defense and environment	4digit	62		86	80		Coordinators of health, civil and environment protection	0	56
53	1522	Coordinadores y jefes de área en desarrollo social y económico	Coordinators and area managers of social and economic development	4digit	62		62	65		Coordinators of social and economic development	0	47
54	1523	Coordinadores y jefes de área en centros de enseñanza y capacitación	Coordinators and area managers of teaching and training centers	4digit	62		68	63		Coordinators of teaching and training centers	0	45
55	1524	Coordinadores y jefes de área en servicios legales, jueces calificadores y fiscales	Coordinators and area managers of legal services, qualifying judges and prosecutors	4digit	62		83	83		Managers of legal services, qualifying judges and prosecutors	0	61
56	1525	Capitanes, tenientes y jefes de área de las fuerzas armadas	Captains, lieutenants and area officials of the armed forces	4digit	62		59	60	Capitanes, tenientes y jefes de área de las fuerzas armadas	Captains, lieutenants and area officials of the armed forces	59	60
57	1526	Coordinadores y jefes de área en servicios de vigilancia y seguridad	Coordinators and area managers of surveillance and security services	4digit	62		68	68		Coordinators of surveillance and security services	0	50
58	16	Coordinadores y jefes de área en producción y tecnología	Coordinators and area managers of production and technology	2digit	0		56	59	Coordinadores y jefes de área en producción y tecnología	Coordinators and area managers of production and technology	56	59
59	161	Coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento	Coordinators and area managers of agricultural production, industry, construction and maintenance	3digit	72		98	97		Coordinators of agricultural production and construction	0	56
60	1611	Coordinadores y jefes de área en producción agropecuaria, silvícola y pesquera	Coordinators and area managers of agricultural, forestry and fishing production	4digit	73		78	79		Coordinators of agricultural, forestry and fishing production	0	61
61	1612	Coordinadores y jefes de área en producción minera, petrolera y gas	Coordinators and area managers of mining, oil and gas production	4digit	73		67	64		Coordinators of mining, oil and gas production	0	46
62	1613	Coordinadores y jefes de área en generación y provisión de energía eléctrica y agua	Coordinators and area managers of generation and supply of electricity and water	4digit	73		83	80		Coordinators of water and electricity supply and generation	0	59
63	1614	Coordinadores y jefes de área en producción manufacturera	Coordinators and area managers of manufacturing	4digit	73		57	47	Coordinadores y jefes de área en producción manufacturera	Coordinators and area managers of manufacturing	57	47
64	1615	Coordinadores y jefes de área en construcción, reparación y mantenimiento	Coordinators and area managers of construction, repairs and maintenance	4digit	73		73	71		Coordinators of construction, repairs and maintenance	0	53
65	1619	Otros coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento, no clasificados anteriormente	Other coordinators and area managers of agricultural and industrial production, construction and maintenance, not included above	4digit	73		135	128		Other coords. of agricult., industry, construction and maint.	0	61
66	162	Coordinadores y jefes de área en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico	Coordinators and area managers of IT, telecommunications, transport and technological research and development	3digit	72		120	110		Coordinators of ICT, transport and technological R&D	0	52
67	1621	Coordinadores y jefes de área en informática	Coordinators and area managers in informatics	4digit	85		44	45	Coordinadores y jefes de área en informática	Coordinators and area managers in informatics	44	45
68	1622	Coordinadores y jefes de área en comunicación y telecomunicaciones	Coordinators and area managers in communication and telecommunications	4digit	85		66	70		Coordinators in communication and telecommunications	0	52
69	1623	Coordinadores y jefes de área en servicios de transporte	Coordinators and area managers of transport services	4digit	85		56	52	Coordinadores y jefes de área en servicios de transporte	Coordinators and area managers of transport services	56	52
70	1624	Coordinadores y jefes de área en centros de investigación y desarrollo tecnológico	Coordinators and area managers of technological research and development centers	4digit	85		82	80		Coordinators of technological R&D centers	0	41
71	1629	Otros coordinadores y jefes de área en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico, no clasificados anteriormente	Other coordinators and area managers of IT, telecommunications, transport and technological research and development, not included above	4digit	85		157	136		Other coordinators of ICT, transport and technological R&D	0	58
72	17	Coordinadores y jefes de área de ventas, restaurantes, hoteles y otros establecimientos	Coordinators and area managers of sales, restaurants, hotels and other commercial establishments	2digit	0		87	96		Coordinators of commercial establishments	0	41
73	171	Coordinadores y jefes de área de ventas, restaurantes y hoteles	Coordinators and area managers of sales, restaurants and hotels	3digit	97		63	63		Coordinators of sales, restaurants and hotels	0	45
74	1711	Coordinadores y jefes de área de ventas, comercialización y alquiler	Coordinators and area managers of sales, marketing and renting	4digit	99		68	62		Coordinators of sales, marketing and renting	0	44
75	1712	Coordinadores y jefes de área de restaurantes y hoteles	Coordinators and area managers of restaurants and hotels	4digit	99		55	56	Coordinadores y jefes de área de restaurantes y hoteles	Coordinators and area managers of restaurants and hotels	55	56
76	172	Coordinadores y jefes de área en museos, cines y otros establecimientos	Coordinators and area managers of museums, theaters and other institutions	3digit	97		71	74		Coordinators of museums, theaters and other institutions	0	56
77	1721	Coordinadores y jefes de área en actividades artísticas, de cine, teatro y afines	Coordinators and area managers in artistic activities, film, theater and related subjects	4digit	102		81	89		Coordinators in artistic activities and related subjects	0	56
78	1722	Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales	Coordinators and area managers of museums, theaters and other sports and cultural institutions	4digit	102		81	94		Coordinators of entertainment, sports and culture	0	49
79	1723	Coordinadores y jefes de área en servicios funerarios y otros servicios	Coordinators and area managers of funeral and similar services	4digit	102		71	62		Coordinators of funeral and similar services	0	44
80	19	Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente	Other directors, officers, managers, coordinators and department heads, not included above	2digit	0		102	90		Other directors, officers, managers, coords. and dept. heads	0	60
81	199	Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente	Other directors, officers, managers, coordinators and department heads, not included above	3digit	108		102	90		Other directors, officers, managers, coords. and dept. heads	0	60
82	1999	Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente	Other directors, officers, managers, coordinators and department heads, not included above	4digit	110		102	90		Other directors, officers, managers, coords. and dept. heads	0	60
83	2	Profesionistas y técnicos	Professionals and technicians	1digit			25	29	Profesionistas y técnicos	Professionals and technicians	25	29
84	21	Administradores y mercadólogos	Administrators and marketers	2digit	114		30	28	Administradores y mercadólogos	Administrators and marketers	30	28
85	211	Administradores y mercadólogos	Administrators and marketers	3digit	115		30	28	Administradores y mercadólogos	Administrators and marketers	30	28
86	2111	Administradores y especialistas en recursos humanos y sistemas de gestión	Administrators and specialists in human resources and management systems	4digit	116		73	72		Administrators and specialists in HR and management systems	0	59
87	2112	Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior	Specialists and consultants in marketing, advertising, communication and external trade	4digit	116		90	87		Specialists in marketing, communication and external trade	0	58
88	2113	Especialistas en hotelería y turismo	Specialists in hospitality and tourism	4digit	116		36	38	Especialistas en hotelería y turismo	Specialists in hospitality and tourism	36	38
89	212	Contadores, auditores, especialistas en finanzas y en economía	Accountants, auditors, specialists in finance and economics	3digit	115		62	59		Accountants, auditors, specialists in finance and economics	0	59
90	2121	Contadores y auditores	Accountants and auditors	4digit	122		22	24	Contadores y auditores	Accountants and auditors	22	24
91	2122	Asesores y analistas en finanzas	Financial advisors and analysts	4digit	122		32	31	Asesores y analistas en finanzas	Financial advisors and analysts	32	31
92	2123	Economistas, consultores e investigadores en política económica	Economists, consultants and researchers in economic policy	4digit	122		63	58		Economists, consultants and researchers in economic policy	0	58
93	213	Investigadores y especialistas en ciencias sociales	Researchers and specialists in social sciences	3digit	115		51	46	Investigadores y especialistas en ciencias sociales	Researchers and specialists in social sciences	51	46
94	2131	Antropólogos, arqueólogos e historiadores	Anthropologists, archaeologists and historians	4digit	126		41	46	Antropólogos, arqueólogos e historiadores	Anthropologists, archaeologists and historians	41	46
95	2132	Investigadores y especialistas en sociología y desarrollo social	Researchers and specialists in sociology and social development	4digit	126		64	63		Specialists in sociology and social development	0	47
96	2133	Investigadores y especialistas en ciencias políticas y administración pública	Researchers and specialists in political science and public administration	4digit	126		77	74		Specialists in political science and public administration	0	58
97	2134	Geógrafos	Geographers	4digit	126		9	11	Geógrafos	Geographers	9	11
98	2135	Abogados	Lawyers	4digit	126		8	7	Abogados	Lawyers	8	7
99	214	Investigadores y especialistas en ciencias humanistas	Researchers and specialists in human sciences	3digit	115		53	45	Investigadores y especialistas en ciencias humanistas	Researchers and specialists in human sciences	53	45
100	2141	Investigadores y especialistas en filosofía y letras (filólogos)	Researchers and specialists in philosophy and literature (philologists)	4digit	132		64	71		Specialists in philosophy and literature (philologists)	0	55
101	2142	Psicólogos	Psychologists	4digit	132		10	13	Psicólogos	Psychologists	10	13
102	2143	Especialistas en trabajo social	Social work specialists	4digit	132		31	23	Especialistas en trabajo social	Social work specialists	31	23
103	2144	Especialistas en archivonomía, biblioteconomía y museografía	Archival sciences, library and museum specialists	4digit	132		60	49	Especialistas en archivonomía, biblioteconomía y museografía	Archival sciences, library and museum specialists	60	49
104	2145	Sacerdotes, pastores y otros teólogos	Priests, pastors and other theologians	4digit	132		37	38	Sacerdotes, pastores y otros teólogos	Priests, pastors and other theologians	37	38
105	215	Autores, periodistas y traductores	Authors, journalists and translators	3digit	115		34	36	Autores, periodistas y traductores	Authors, journalists and translators	34	36
106	2151	Escritores y críticos literarios	Writers and literary critics	4digit	140		32	28	Escritores y críticos literarios	Writers and literary critics	32	28
107	2152	Periodistas y redactores	Journalists and editors	4digit	140		24	23	Periodistas y redactores	Journalists and editors	24	23
108	2153	Traductores e intérpretes	Translators and interpreters	4digit	140		25	28	Traductores e intérpretes	Translators and interpreters	25	28
109	216	Pintores, diseñadores y dibujantes artísticos, escultores y escenógrafos	Painters, designers and artistic cartoonists, sculptors and scenographers	3digit	115		72	73		Designers, artistists, cartoonists, and scenographers	0	53
110	2161	Pintores	Painters	4digit	144		8	8	Pintores	Painters	8	8
111	2162	Dibujantes y diseñadores artísticos, ilustradores y grabadores	Cartoonists and artistic designers, illustrators and engravers	4digit	144		62	62		Cartoonists, artistic designers and engravers	0	45
112	2163	Escultores	Sculptors	4digit	144		10	9	Escultores	Sculptors	10	9
113	2164	Escenógrafos	Scenographers	4digit	144		12	13	Escenógrafos	Scenographers	12	13
114	217	Artistas interpretativos	Performing artists	3digit	115		24	18	Artistas interpretativos	Performing artists	24	18
115	2171	Compositores y arreglistas	Composers and arrangers	4digit	149		26	23	Compositores y arreglistas	Composers and arrangers	26	23
116	2172	Músicos	Musicians	4digit	149		7	9	Músicos	Musicians	7	9
117	2173	Cantantes	Singers	4digit	149		9	7	Cantantes	Singers	9	7
118	2174	Bailarines y coreógrafos	Dancers and choreographers	4digit	149		24	26	Bailarines y coreógrafos	Dancers and choreographers	24	26
119	2175	Actores	Actors	4digit	149		7	6	Actores	Actors	7	6
120	22	Investigadores y especialistas en ciencias exactas, biológicas, ingeniería, informática y en telecomunicaciones	Researchers and specialists in exact sciences, biological sciences, engineering, informatics and telecommunications	2digit	114		111	115		Specialists in sciences, engineering, and ICT	0	45
121	221	Investigadores y especialistas en física, matemáticas, estadística y actuaría	Researchers and specialists in physics, mathematics, statistics and actuary	3digit	155		77	75		Specialists in physics, mathematics, statistics and actuary	0	59
122	2211	Investigadores y especialistas en física	Researchers and specialists in physics	4digit	157		40	38	Investigadores y especialistas en física	Researchers and specialists in physics	40	38
123	2212	Investigadores y especialistas en matemáticas, estadística y actuaría	Researchers and specialists in mathematics, statistics and actuary	4digit	157		69	66		Specialists in mathematics, statistics and actuary	0	50
124	222	Investigadores y especialistas en ciencias biológicas, químicas y del medio ambiente	Researchers and specialists in biological, chemical and environmental sciences	3digit	155		84	78		Specialists in biology, chemistry and environment	0	49
125	2221	Biólogos y especialistas en ciencias del mar y oceanógrafos	Biologists, marine scientists and oceanographers	4digit	160		59	48	Biólogos y especialistas en ciencias del mar y oceanógrafos	Biologists, marine scientists and oceanographers	59	48
126	2222	Químicos	Experts in chemistry	4digit	160		8	20	Químicos	Experts in chemistry	8	20
127	2223	Ecólogos y especialistas en ciencias atmosféricas	Ecologists and specialists in atmospheric sciences	4digit	160		49	50	Ecólogos y especialistas en ciencias atmosféricas	Ecologists and specialists in atmospheric sciences	49	50
128	223	Especialistas en ciencias agronómicas	Specialists in agronomy	3digit	155		37	23	Especialistas en ciencias agronómicas	Specialists in agronomy	37	23
129	2231	Agrónomos	Agronomists	4digit	165		9	11	Agrónomos	Agronomists	9	11
130	2232	Veterinarios y zootecnistas	Veterinarians and zootechnicians	4digit	165		27	32	Veterinarios y zootecnistas	Veterinarians and zootechnicians	27	32
131	2233	Especialistas en forestación	Forestry specialists	4digit	165		28	20	Especialistas en forestación	Forestry specialists	28	20
132	2234	Especialistas en pesca y en acuacultura	Specialists in fishing and aquaculture	4digit	165		39	38	Especialistas en pesca y en acuacultura	Specialists in fishing and aquaculture	39	38
133	224	Ingenieros eléctricos y en electrónica	Electrical and electronics engineers	3digit	155		38	36	Ingenieros eléctricos y en electrónica	Electrical and electronics engineers	38	36
134	2241	Ingenieros eléctricos	Electrical engineers	4digit	170		21	20	Ingenieros eléctricos	Electrical engineers	21	20
135	2242	Ingenieros electrónicos	Electronic engineers	4digit	170		23	20	Ingenieros electrónicos	Electronic engineers	23	20
136	225	Ingenieros químicos, mecánicos, industriales, mineros y metalúrgicos	Chemical, mechanical, industrial, mining and metallurgical engineers	3digit	155		68	68		Chemical, mechanical, industrial, and material engineers	0	56
137	2251	Ingenieros químicos	Chemical engineers	4digit	175		19	18	Ingenieros químicos	Chemical engineers	19	18
138	2252	Ingenieros mecánicos	Mechanical engineers	4digit	175		20	20	Ingenieros mecánicos	Mechanical engineers	20	20
139	2253	Ingenieros industriales	Industrial engineers	4digit	175		23	20	Ingenieros industriales	Industrial engineers	23	20
140	2254	Ingenieros en minas, metalurgia y petróleo	Mining, metallurgy and oil engineers	4digit	175		42	36	Ingenieros en minas, metalurgia y petróleo	Mining, metallurgy and oil engineers	42	36
141	226	Ingenieros civiles, topógrafos y arquitectos	Civil engineers, surveyors and architects	3digit	155		44	41	Ingenieros civiles, topógrafos y arquitectos	Civil engineers, surveyors and architects	44	41
142	2261	Ingenieros civiles y de la construcción	Civil and construction engineers	4digit	180		39	32	Ingenieros civiles y de la construcción	Civil and construction engineers	39	32
143	2262	Ingenieros en topografía, hidrología, geología y geodesia	Engineers in topography, hydrology, geology and geodesy	4digit	180		57	55	Ingenieros en topografía, hidrología, geología y geodesia	Engineers in topography, hydrology, geology and geodesy	57	55
144	2263	Arquitectos, planificadores urbanos y del transporte	Architects, urban and transportation planners	4digit	180		52	45	Arquitectos, planificadores urbanos y del transporte	Architects, urban and transportation planners	52	45
145	227	Investigadores y especialistas en sistemas computacionales	Researchers and specialists in computer systems	3digit	155		58	47	Investigadores y especialistas en sistemas computacionales	Researchers and specialists in computer systems	58	47
146	2271	Desarrolladores y analistas de software y multimedia	Software and multimedia analysts and developers	4digit	184		52	47	Desarrolladores y analistas de software y multimedia	Software and multimedia analysts and developers	52	47
147	2272	Administradores de bases de datos y redes de computadora	Database and computer networks administrators	4digit	184		56	45	Administradores de bases de datos y redes de computadora	Database and computer networks administrators	56	45
148	228	Ingenieros en comunicaciones y telecomunicaciones	Communications and telecommunications engineers	3digit	155		49	47	Ingenieros en comunicaciones y telecomunicaciones	Communications and telecommunications engineers	49	47
149	2281	Ingenieros en comunicaciones y telecomunicaciones	Communications and telecommunications engineers	4digit	187		49	47	Ingenieros en comunicaciones y telecomunicaciones	Communications and telecommunications engineers	49	47
150	23	Profesores y especialistas en docencia	Teachers and specialists in teaching	2digit	114		38	36	Profesores y especialistas en docencia	Teachers and specialists in teaching	38	36
151	231	Supervisores educativos y especialistas en ciencias de la educación	Educational supervisors and specialists in educational science	3digit	189		67	62		Supervisors and specialists in educational science	0	50
152	2311	Supervisores e inspectores educativos	Educational supervisors and inspectors	4digit	190		37	38	Supervisores e inspectores educativos	Educational supervisors and inspectors	37	38
153	2312	Pedagogos, orientadores educativos y otros especialistas en ciencias educativas	Pedagogues, educational counselors and other specialists in educational sciences	4digit	190		79	80		Pedagogues and other specialists in educational sciences	0	56
154	232	Profesores de nivel medio y superior	High school and university teachers	3digit	189		36	35	Profesores de nivel medio y superior	High school and university teachers	36	35
155	2321	Profesores universitarios y de enseñanza superior	University and higher education teachers	4digit	194		49	40	Profesores universitarios y de enseñanza superior	University and higher education teachers	49	40
156	2322	Profesores de preparatoria y equivalentes	High school, or equivalent, teachers	4digit	194		41	36	Profesores de preparatoria y equivalentes	High school, or equivalent, teachers	41	36
157	233	Profesores de nivel básico	Entry-level teachers	3digit	189		26	20	Profesores de nivel básico	Entry-level teachers	26	20
158	2331	Profesores de enseñanza secundaria	High school teachers	4digit	197		34	20	Profesores de enseñanza secundaria	High school teachers	34	20
159	2332	Profesores de enseñanza primaria	Primary school teachers	4digit	197		32	23	Profesores de enseñanza primaria	Primary school teachers	32	23
160	2333	Alfabetizadores	Literacy tutors	4digit	197		15	15	Alfabetizadores	Literacy tutors	15	15
161	2334	Profesores de enseñanza bilingüe (indígena)	Bilingual teachers (aboriginal)	4digit	197		43	31	Profesores de enseñanza bilingüe (indígena)	Bilingual teachers (aboriginal)	43	31
162	2335	Profesores de enseñanza preescolar	Preschool teachers	4digit	197		34	18	Profesores de enseñanza preescolar	Preschool teachers	34	18
163	2339	Otros profesores de nivel básico, no clasificados anteriormente	Other entry-level teachers, not included above	4digit	197		63	46		Other entry-level teachers, not included above	0	46
164	234	Profesores en enseñanza especial	Special education teachers	3digit	189		32	26	Profesores en enseñanza especial	Special education teachers	32	26
165	2341	Profesores de personas con problemas de audición y lenguaje	Teachers of people with hearing and language impairments	4digit	204		59	56	Profesores de personas con problemas de audición y lenguaje	Teachers of people with hearing and language impairments	59	56
166	2342	Profesores de personas con problemas de aprendizaje	Teachers of people with learning disabilities	4digit	204		51	45	Profesores de personas con problemas de aprendizaje	Teachers of people with learning disabilities	51	45
167	2343	Otros profesores de enseñanza especial	Other special education teachers	4digit	204		38	32	Otros profesores de enseñanza especial	Other special education teachers	38	32
168	239	Otros profesores y especialistas en docencia, no clasificados anteriormente	Other teachers and specialists in teaching, not included above	3digit	189		75	62		Other teachers and specialists in teaching	0	42
169	2391	Otros profesores y especialistas en docencia, no clasificados anteriormente	Other teachers and specialists in teaching, not included above	4digit	208		75	62		Other teachers and specialists in teaching	0	42
170	24	Médicos, enfermeras y otros especialistas en salud	Doctors, nurses and other health specialists	2digit	114		50	44	Médicos, enfermeras y otros especialistas en salud	Doctors, nurses and other health specialists	50	44
171	241	Médicos generales y especialistas	General practitioners and specialists	3digit	212		33	37	Médicos generales y especialistas	General practitioners and specialists	33	37
172	2411	Médicos generales y familiares	General and family practitioners	4digit	213		30	32	Médicos generales y familiares	General and family practitioners	30	32
173	2412	Médicos especialistas	Medical specialists	4digit	213		21	19	Médicos especialistas	Medical specialists	21	19
174	2413	Dentistas	Dentists	4digit	213		9	8	Dentistas	Dentists	9	8
175	242	Otros especialistas en salud	Other health specialists	3digit	212		28	24	Otros especialistas en salud	Other health specialists	28	24
176	2421	Ingenieros biomédicos	Biomedical engineers	4digit	217		21	20	Ingenieros biomédicos	Biomedical engineers	21	20
