"","code","level","name_en","name_es","name_short_es","name_short_en","name","parent_id"
15,"11-2031","detailed_occupation","Public Relations and Fundraising Managers","Gerentes de Relaciones Públicas y Recaudación de Fondos","Gerentes de Relaciones Públicas","Public Relations and Fundraising Managers","Public Relations and Fundraising Managers",14.0
16,"11-3000","minor_group","Operations Specialties Managers","Operations Specialties Managers","","Operations Specialties Managers","Operations Specialties Managers",0.0
17,"11-3010","broad_occupation","Administrative Services Managers","Administrative Services Managers","","Administrative Services Managers","Administrative Services Managers",16.0
18,"11-3011","detailed_occupation","Administrative Services Managers","Gerentes de Servicios Administrativos","Gerentes de Servicios Administrativos","Administrative Services Managers","Administrative Services Managers",17.0
19,"11-3020","broad_occupation","Computer and Information Systems Managers","Computer and Information Systems Managers","","Computer and Information Systems Managers","Computer and Information Systems Managers",16.0
20,"11-3021","detailed_occupation","Computer and Information Systems Managers","Gerentes de Sistemas de Computación e Información","Gerentes de Sistemas de Computación e Información","Computer and Information Systems Managers","Computer and Information Systems Managers",19.0
21,"11-3030","broad_occupation","Financial Managers","Financial Managers","","Financial Managers","Financial Managers",16.0
22,"11-3031","detailed_occupation","Financial Managers","Gerentes Financieros","Gerentes Financieros","Financial Managers","Financial Managers",21.0
23,"11-3050","broad_occupation","Industrial Production Managers","Industrial Production Managers","","Industrial Production Managers","Industrial Production Managers",16.0
24,"11-3051","detailed_occupation","Industrial Production Managers","Gerentes de Producción Industrial","Gerentes de Producción Industrial","Industrial Production Managers","Industrial Production Managers",23.0
25,"11-3060","broad_occupation","Purchasing Managers","Purchasing Managers","","Purchasing Managers","Purchasing Managers",16.0
26,"11-3061","detailed_occupation","Purchasing Managers","Gerentes de Compras","Gerentes de Compras","Purchasing Managers","Purchasing Managers",25.0
27,"11-3070","broad_occupation","Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers","","Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers",16.0
28,"11-3071","detailed_occupation","Transportation, Storage, and Distribution Managers","Gerentes de Transporte, Almacenamiento y Distribución","Gerentes de Transporte","Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers",27.0
29,"11-3110","broad_occupation","Compensation and Benefits Managers","Compensation and Benefits Managers","","Compensation and Benefits Managers","Compensation and Benefits Managers",16.0
30,"11-3111","detailed_occupation","Compensation and Benefits Managers","Gerentes de Compensaciones y Beneficios","Gerentes de Compensaciones y Beneficios","Compensation and Benefits Managers","Compensation and Benefits Managers",29.0
31,"11-3120","broad_occupation","Human Resources Managers","Human Resources Managers","","Human Resources Managers","Human Resources Managers",16.0
32,"11-3121","detailed_occupation","Human Resources Managers","Gerentes de Recursos Humanos","Gerentes de Recursos Humanos","Human Resources Managers","Human Resources Managers",31.0
33,"11-3130","broad_occupation","Training and Development Managers","Training and Development Managers","","Training and Development Managers","Training and Development Managers",16.0
34,"11-3131","detailed_occupation","Training and Development Managers","Gerentes de Capacitación y Desarrollo","Gerentes de Capacitación y Desarrollo","Training and Development Managers","Training and Development Managers",33.0
35,"11-9000","minor_group","Other Management Occupations","Other Management Occupations","","Other Management Occupations","Other Management Occupations",0.0
36,"11-9010","broad_occupation","Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers","","Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers",35.0
37,"11-9013","detailed_occupation","Farmers, Ranchers, and Other Agricultural Managers","Gerentes de Viveros y de Invernaderos","Gerentes de Viveros y de Invernaderos","Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers",36.0
38,"11-9020","broad_occupation","Construction Managers","Construction Managers","","Construction Managers","Construction Managers",35.0
39,"11-9021","detailed_occupation","Construction Managers","Gerentes de Construcción","Gerentes de Construcción","Construction Managers","Construction Managers",38.0
40,"11-9030","broad_occupation","Education Administrators","Education Administrators","","Education Administrators","Education Administrators",35.0
41,"11-9031","detailed_occupation","Education Administrators, Preschool and Childcare Center/Program","Administradores Educativos de Centro/Programa Preescolar y Guardería Infantil","Administradores Educativos de Preescolar","Education Administrators, Preschool and Childcare Center/Program","Education Administrators, Preschool and Childcare Center/Program",40.0
42,"11-9032","detailed_occupation","Education Administrators, Elementary and Secondary School","Administradores Educativos de Escuela Primaria y Secundaria","Administradores Educativos Primaria y Secundaria","Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School",40.0
43,"11-9033","detailed_occupation","Education Administrators, Postsecondary","Administradores Educativos de Nivel Postsecundario","Administradores Educativos de Nivel Postsecundario","Education Administrators, Postsecondary","Education Administrators, Postsecondary",40.0
44,"11-9039","detailed_occupation","Education Administrators, All Other","Todos los Demás Administradores Educativos","Todos los Demás Administradores Educativos","Education Administrators, All Other","Education Administrators, All Other",40.0
45,"11-9040","broad_occupation","Architectural and Engineering Managers","Architectural and Engineering Managers","","Architectural and Engineering Managers","Architectural and Engineering Managers",35.0
46,"11-9041","detailed_occupation","Architectural and Engineering Managers","Directores de Arquitectura e Ingeniería","Directores de Arquitectura e Ingeniería","Architectural and Engineering Managers","Architectural and Engineering Managers",45.0
47,"11-9050","broad_occupation","Food Service Managers","Food Service Managers","","Food Service Managers","Food Service Managers",35.0
48,"11-9051","detailed_occupation","Food Service Managers","Directores de Servicio de Alimentos","Directores de Servicio de Alimentos","Food Service Managers","Food Service Managers",47.0
49,"11-9060","broad_occupation","Funeral Service Managers","Funeral Service Managers","","Funeral Service Managers","Funeral Service Managers",35.0
50,"11-9061","detailed_occupation","Funeral Service Managers","Gerentes de Servicios Fúnebres","Gerentes de Servicios Fúnebres","Funeral Service Managers","Funeral Service Managers",49.0
51,"11-9070","broad_occupation","Gaming Managers","Gaming Managers","","Gaming Managers","Gaming Managers",35.0
52,"11-9071","detailed_occupation","Gaming Managers","Gerentes de Salas de Juego","Gerentes de Salas de Juego","Gaming Managers","Gaming Managers",51.0
53,"11-9080","broad_occupation","Lodging Managers","Lodging Managers","","Lodging Managers","Lodging Managers",35.0
54,"11-9081","detailed_occupation","Lodging Managers","Gerentes de Hospedaje","Gerentes de Hospedaje","Lodging Managers","Lodging Managers",53.0
55,"11-9110","broad_occupation","Medical and Health Services Managers","Medical and Health Services Managers","","Medical and Health Services Managers","Medical and Health Services Managers",35.0
56,"11-9111","detailed_occupation","Medical and Health Services Managers","Directores de Servicios Médicos y de Salud","Directores de Servicios Médicos y de Salud","Medical and Health Services Managers","Medical and Health Services Managers",55.0
57,"11-9120","broad_occupation","Natural Sciences Managers","Natural Sciences Managers","","Natural Sciences Managers","Natural Sciences Managers",35.0
58,"11-9121","detailed_occupation","Natural Sciences Managers","Directores de Ciencias Naturales","Directores de Ciencias Naturales","Natural Sciences Managers","Natural Sciences Managers",57.0
59,"11-9130","broad_occupation","Postmasters and Mail Superintendents","Postmasters and Mail Superintendents","","Postmasters and Mail Superintendents","Postmasters and Mail Superintendents",35.0
60,"11-9131","detailed_occupation","Postmasters and Mail Superintendents","Jefes de Correo y Superintendentes de Correo","Jefes de Correo y Superintendentes de Correo","Postmasters and Mail Superintendents","Postmasters and Mail Superintendents",59.0
61,"11-9140","broad_occupation","Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers","","Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",35.0
62,"11-9141","detailed_occupation","Property, Real Estate, and Community Association Managers","Gerentes de Propiedad, Inmuebles y Asociaciones de Vivienda Comunitaria","Gerentes de Propiedad","Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",61.0
63,"11-9150","broad_occupation","Social and Community Service Managers","Social and Community Service Managers","","Social and Community Service Managers","Social and Community Service Managers",35.0
64,"11-9151","detailed_occupation","Social and Community Service Managers","Directores de Servicios Sociales y Comunitarios","Directores de Servicios Sociales y Comunitarios","Social and Community Service Managers","Social and Community Service Managers",63.0
65,"11-9160","broad_occupation","Emergency Management Directors","Emergency Management Directors","","Emergency Management Directors","Emergency Management Directors",35.0
66,"11-9161","detailed_occupation","Emergency Management Directors","Directores de Manejo de Emergencias","Directores de Manejo de Emergencias","Emergency Management Directors","Emergency Management Directors",65.0
67,"11-9190","broad_occupation","Miscellaneous Managers","Miscellaneous Managers","","Miscellaneous Managers","Miscellaneous Managers",35.0
68,"11-9199","detailed_occupation","Managers, All Other","Todos los Demás Gerentes, Directores, Administradores y Jefes","Todos los Demás Gerentes","Managers, All Other","Managers, All Other",67.0
69,"13-0000","major_group","Business and Financial Operations Occupations","Ocupaciones de Operaciones Comerciales y Financieros","","Business and Financial Operations Occupations","Business and Financial Operations Occupations",""
70,"13-1000","minor_group","Business Operations Specialists","Business Operations Specialists","","Business Operations Specialists","Business Operations Specialists",69.0
71,"13-1010","broad_occupation","Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes","","Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",70.0
72,"13-1011","detailed_occupation","Agents and Business Managers of Artists, Performers, and Athletes","Agentes y Gerentes Comerciales de Artistas, Intérpretes Artísticos y Atletas","Agentes y Gerentes de Artistas y Atletas","Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",71.0
73,"13-1020","broad_occupation","Buyers and Purchasing Agents","Buyers and Purchasing Agents","","Buyers and Purchasing Agents","Buyers and Purchasing Agents",70.0
74,"13-1021","detailed_occupation","Buyers and Purchasing Agents, Farm Products","Compradores y Agentes de Compras de Productos Agrícolas","Compradores de Productos Agrícolas","Buyers and Purchasing Agents, Farm Products","Buyers and Purchasing Agents, Farm Products",73.0
75,"13-1022","detailed_occupation","Wholesale and Retail Buyers, Except Farm Products","Compradores Mayoristas y Minoristas, Excepto de Productos Agrícolas","Compradores Mayoristas y Minoristas, Excepto de Productos Agrícolas","Wholesale and Retail Buyers, Except Farm Products","Wholesale and Retail Buyers, Except Farm Products",73.0
76,"13-1023","detailed_occupation","Purchasing Agents, Except Wholesale, Retail, and Farm Products","Agentes de Compras, Excepto Mayoristas, Minoristas y de Productos Agrícolas","Agentes de Compras, Excepto Mayoristas, Minoristas y de Productos Agrícolas","Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchasing Agents, Except Wholesale, Retail, and Farm Products",73.0
77,"13-1030","broad_occupation","Claims Adjusters, Appraisers, Examiners, and Investigators","Claims Adjusters, Appraisers, Examiners, and Investigators","","Claims Adjusters, Appraisers, Examiners, and Investigators","Claims Adjusters, Appraisers, Examiners, and Investigators",70.0
78,"13-1031","detailed_occupation","Claims Adjusters, Examiners, and Investigators","Ajustadores, Examinadores e Investigadores de Reclamaciones","Examinadores e Investigadores de Reclamaciones","Claims Adjusters, Examiners, and Investigators","Claims Adjusters, Examiners, and Investigators",77.0
79,"13-1032","detailed_occupation","Insurance Appraisers, Auto Damage","Tasadores de Seguro de Automóviles","Tasadores de Seguro de Automóviles","Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage",77.0
80,"13-1040","broad_occupation","Compliance Officers","Compliance Officers","","Compliance Officers","Compliance Officers",70.0
81,"13-1041","detailed_occupation","Compliance Officers","Funcionarios de Cumplimiento","Funcionarios de Cumplimiento","Compliance Officers","Compliance Officers",80.0
82,"13-1050","broad_occupation","Cost Estimators","Cost Estimators","","Cost Estimators","Cost Estimators",70.0
83,"13-1051","detailed_occupation","Cost Estimators","Estimadores de Costos","Estimadores de Costos","Cost Estimators","Cost Estimators",82.0
84,"13-1070","broad_occupation","Human Resources Workers","Human Resources Workers","","Human Resources Workers","Human Resources Workers",70.0
85,"13-1071","detailed_occupation","Human Resources Specialists","Especialistas en Recursos Humanos","Especialistas en Recursos Humanos","Human Resources Specialists","Human Resources Specialists",84.0
86,"13-1074","detailed_occupation","Farm Labor Contractors","Contratistas de Mano de Obra Agrícola","Contratistas de Mano de Obra Agrícola","Farm Labor Contractors","Farm Labor Contractors",84.0
87,"13-1075","detailed_occupation","Labor Relations Specialists","Especialistas en Relaciones Laborales","Especialistas en Relaciones Laborales","Labor Relations Specialists","Labor Relations Specialists",84.0
88,"13-1080","broad_occupation","Logisticians","Logisticians","","Logisticians","Logisticians",70.0
89,"13-1081","detailed_occupation","Logisticians","Especialistas en Logística","Especialistas en Logística","Logisticians","Logisticians",88.0
90,"13-1110","broad_occupation","Management Analysts","Management Analysts","","Management Analysts","Management Analysts",70.0
91,"13-1111","detailed_occupation","Management Analysts","Analistas de Gestión","Analistas de Gestión","Management Analysts","Management Analysts",90.0
92,"13-1120","broad_occupation","Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners","","Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners",70.0
93,"13-1121","detailed_occupation","Meeting, Convention, and Event Planners","Planificadores de Reuniones, Convenciones y Eventos","Planificadores de Reuniones y Eventos","Meeting, Convention, and Event Planners","Meeting, Convention, and Event Planners",92.0
94,"13-1130","broad_occupation","Fundraisers","Fundraisers","","Fundraisers","Fundraisers",70.0
95,"13-1131","detailed_occupation","Fundraisers","Recaudadores de Fondos","Recaudadores de Fondos","Fundraisers","Fundraisers",94.0
96,"13-1140","broad_occupation","Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists","","Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists",70.0
97,"13-1141","detailed_occupation","Compensation, Benefits, and Job Analysis Specialists","Especialistas en Compensaciones, Beneficios y Análisis Ocupacional","Especialistas en Compensaciones y Beneficios","Compensation, Benefits, and Job Analysis Specialists","Compensation, Benefits, and Job Analysis Specialists",96.0
98,"13-1150","broad_occupation","Training and Development Specialists","Training and Development Specialists","","Training and Development Specialists","Training and Development Specialists",70.0
99,"13-1151","detailed_occupation","Training and Development Specialists","Especialistas en Capacitación y Desarrollo","Especialistas en Capacitación y Desarrollo","Training and Development Specialists","Training and Development Specialists",98.0
100,"13-1160","broad_occupation","Market Research Analysts and Marketing Specialists","Market Research Analysts and Marketing Specialists","","Market Research Analysts and Marketing Specialists","Market Research Analysts and Marketing Specialists",70.0
101,"13-1161","detailed_occupation","Market Research Analysts and Marketing Specialists","Analistas de Investigación de Mercado y Especialistas en Mercadeo","Analistas de Investigación de Mercado y Especialistas en Mercadeo","Market Research Analysts and Marketing Specialists","Market Research Analysts and Marketing Specialists",100.0
102,"13-1190","broad_occupation","Miscellaneous Business Operations Specialists","Miscellaneous Business Operations Specialists","","Miscellaneous Business Operations Specialists","Miscellaneous Business Operations Specialists",70.0
103,"13-1199","detailed_occupation","Business Operations Specialists, All Other","Todos los Demás Especialistas en Operaciones Comerciales","Otros Especialistas en Operaciones Comerciales","Business Operations Specialists, All Other","Business Operations Specialists, All Other",102.0
104,"13-2000","minor_group","Financial Specialists","Financial Specialists","","Financial Specialists","Financial Specialists",69.0
105,"13-2010","broad_occupation","Accountants and Auditors","Accountants and Auditors","","Accountants and Auditors","Accountants and Auditors",104.0
106,"13-2011","detailed_occupation","Accountants and Auditors","Contadores y Auditores","Contadores y Auditores","Accountants and Auditors","Accountants and Auditors",105.0
107,"13-2020","broad_occupation","Appraisers and Assessors of Real Estate","Appraisers and Assessors of Real Estate","","Appraisers and Assessors of Real Estate","Appraisers and Assessors of Real Estate",104.0
108,"13-2021","detailed_occupation","Appraisers and Assessors of Real Estate","Tasadores y Especialistas en Valoración de Bienes Raíces","Especialistas en Valoración de Bienes Raíces","Appraisers and Assessors of Real Estate","Appraisers and Assessors of Real Estate",107.0
109,"13-2030","broad_occupation","Budget Analysts","Budget Analysts","","Budget Analysts","Budget Analysts",104.0
110,"13-2031","detailed_occupation","Budget Analysts","Analistas de Presupuesto","Analistas de Presupuesto","Budget Analysts","Budget Analysts",109.0
111,"13-2040","broad_occupation","Credit Analysts","Credit Analysts","","Credit Analysts","Credit Analysts",104.0
112,"13-2041","detailed_occupation","Credit Analysts","Analistas de Crédito","Analistas de Crédito","Credit Analysts","Credit Analysts",111.0
113,"13-2050","broad_occupation","Financial Analysts and Advisors","Financial Analysts and Advisors","","Financial Analysts and Advisors","Financial Analysts and Advisors",104.0
114,"13-2051","detailed_occupation","Financial Analysts","Analistas Financieros","Analistas Financieros","Financial Analysts","Financial Analysts",113.0
115,"13-2052","detailed_occupation","Personal Financial Advisors","Asesores de Finanzas Personales","Asesores de Finanzas Personales","Personal Financial Advisors","Personal Financial Advisors",113.0
116,"13-2053","detailed_occupation","Insurance Underwriters","Aseguradores","Aseguradores","Insurance Underwriters","Insurance Underwriters",113.0
117,"13-2060","broad_occupation","Financial Examiners","Financial Examiners","","Financial Examiners","Financial Examiners",104.0
118,"13-2061","detailed_occupation","Financial Examiners","Examinadores Financieros","Examinadores Financieros","Financial Examiners","Financial Examiners",117.0
119,"13-2070","broad_occupation","Credit Counselors and Loan Officers","Credit Counselors and Loan Officers","","Credit Counselors and Loan Officers","Credit Counselors and Loan Officers",104.0
120,"13-2071","detailed_occupation","Credit Counselors","Asesores de Crédito","Asesores de Crédito","Credit Counselors","Credit Counselors",119.0
121,"13-2072","detailed_occupation","Loan Officers","Oficiales de Préstamo","Oficiales de Préstamo","Loan Officers","Loan Officers",119.0
122,"13-2080","broad_occupation","Tax Examiners, Collectors and Preparers, and Revenue Agents","Tax Examiners, Collectors and Preparers, and Revenue Agents","","Tax Examiners, Collectors and Preparers, and Revenue Agents","Tax Examiners, Collectors and Preparers, and Revenue Agents",104.0
123,"13-2081","detailed_occupation","Tax Examiners and Collectors, and Revenue Agents","Examinadores y Cobradores de Impuestos y Agentes de Rentas Públicas","Examinadores y Cobradores de Impuestos y Agentes de Rentas Públicas","Tax Examiners and Collectors, and Revenue Agents","Tax Examiners and Collectors, and Revenue Agents",122.0
124,"13-2082","detailed_occupation","Tax Preparers","Preparadores de Impuestos","Preparadores de Impuestos","Tax Preparers","Tax Preparers",122.0
125,"13-2090","broad_occupation","Miscellaneous Financial Specialists","Miscellaneous Financial Specialists","","Miscellaneous Financial Specialists","Miscellaneous Financial Specialists",104.0
126,"13-2099","detailed_occupation","Financial Specialists, All Other","Todos los Demás Especialistas Financieros","Todos los Demás Especialistas Financieros","Financial Specialists, All Other","Financial Specialists, All Other",125.0
127,"15-0000","major_group","Computer and Mathematical Occupations","Ocupaciones de Computación y Matemáticas","","Computer and Mathematical Occupations","Computer and Mathematical Occupations",""
128,"15-1100","minor_group","Computer Occupations","Computer Occupations","","Computer Occupations","Computer Occupations",127.0
129,"15-1110","broad_occupation","Computer and Information Research Scientists","Computer and Information Research Scientists","","Computer and Information Research Scientists","Computer and Information Research Scientists",128.0
130,"15-1111","detailed_occupation","Computer and Information Research Scientists","Investigadores de Ciencias de la Computación e Información","Investigadores de la Computación e Información","Computer and Information Research Scientists","Computer and Information Research Scientists",129.0
131,"15-1120","broad_occupation","Computer and Information Analysts","Computer and Information Analysts","","Computer and Information Analysts","Computer and Information Analysts",128.0
132,"15-1121","detailed_occupation","Computer Systems Analysts","Analistas de Sistemas de Computadoras","Analistas de Sistemas de Computadoras","Computer Systems Analysts","Computer Systems Analysts",131.0
133,"15-1122","detailed_occupation","Information Security Analysts","Analistas de Seguridad de la Información","Analistas de Seguridad de la Información","Information Security Analysts","Information Security Analysts",131.0
134,"15-1130","broad_occupation","Software Developers and Programmers","Software Developers and Programmers","","Software Developers and Programmers","Software Developers and Programmers",128.0
135,"15-1131","detailed_occupation","Computer Programmers","Programadores de Computadoras","Programadores de Computadoras","Computer Programmers","Computer Programmers",134.0
136,"15-1132","detailed_occupation","Software Developers, Applications","Diseñadores de Aplicaciones de Programas Software","Diseñadores de Aplicaciones de Programas Software","Software Developers, Applications","Software Developers, Applications",134.0
137,"15-1133","detailed_occupation","Software Developers, Systems Software","Diseñadores de Sistemas de Programas Software","Diseñadores de Sistemas de Programas Software","Software Developers, Systems Software","Software Developers, Systems Software",134.0
138,"15-1134","detailed_occupation","Web Developers","Diseñadores de Red","Diseñadores de Red","Web Developers","Web Developers",134.0
139,"15-1140","broad_occupation","Database and Systems Administrators and Network Architects","Database and Systems Administrators and Network Architects","","Database and Systems Administrators and Network Architects","Database and Systems Administrators and Network Architects",128.0
140,"15-1141","detailed_occupation","Database Administrators","Administradores de Bases de Datos","Administradores de Bases de Datos","Database Administrators","Database Administrators",139.0
141,"15-1142","detailed_occupation","Network and Computer Systems Administrators","Administradores de Redes Informáticas y Sistemas de Computación","Administradores de Redes Informáticas y Sistemas de Computación","Network and Computer Systems Administrators","Network and Computer Systems Administrators",139.0
142,"15-1143","detailed_occupation","Computer Network Architects","Diseñadores de Redes Informáticas","Diseñadores de Redes Informáticas","Computer Network Architects","Computer Network Architects",139.0
143,"15-1150","broad_occupation","Computer Support Specialists","Computer Support Specialists","","Computer Support Specialists","Computer Support Specialists",128.0
144,"15-1151","detailed_occupation","Computer User Support Specialists","Especialistas en Apoyo Técnico para Usuarios de Computadoras","Especialistas en Apoyo Técnico para Usuarios de Computadoras","Computer User Support Specialists","Computer User Support Specialists",143.0
145,"15-1152","detailed_occupation","Computer Network Support Specialists","Especialistas en Apoyo Técnico de Computadoras y Redes Informáticas","Especialistas en Apoyo Técnico de Computadoras y Redes Informáticas","Computer Network Support Specialists","Computer Network Support Specialists",143.0
146,"15-1190","broad_occupation","Miscellaneous Computer Occupations","Miscellaneous Computer Occupations","","Miscellaneous Computer Occupations","Miscellaneous Computer Occupations",128.0
147,"15-1199","detailed_occupation","Computer Occupations, All Other","Todas las Demás Ocupaciones Relacionadas con la Computación","Todas las Demás Ocupaciones Relacionadas con la Computación","Computer Occupations, All Other","Computer Occupations, All Other",146.0
148,"15-2000","minor_group","Mathematical Science Occupations","Mathematical Science Occupations","","Mathematical Science Occupations","Mathematical Science Occupations",127.0
149,"15-2010","broad_occupation","Actuaries","Actuaries","","Actuaries","Actuaries",148.0
150,"15-2011","detailed_occupation","Actuaries","Actuarios","Actuarios","Actuaries","Actuaries",149.0
151,"15-2020","broad_occupation","Mathematicians","Mathematicians","","Mathematicians","Mathematicians",148.0
152,"15-2021","detailed_occupation","Mathematicians","Matemáticos","Matemáticos","Mathematicians","Mathematicians",151.0
153,"15-2030","broad_occupation","Operations Research Analysts","Operations Research Analysts","","Operations Research Analysts","Operations Research Analysts",148.0
154,"15-2031","detailed_occupation","Operations Research Analysts","Analistas de Operaciones de Investigación","Analistas de Operaciones de Investigación","Operations Research Analysts","Operations Research Analysts",153.0
155,"15-2040","broad_occupation","Statisticians","Statisticians","","Statisticians","Statisticians",148.0
156,"15-2041","detailed_occupation","Statisticians","Estadísticos","Estadísticos","Statisticians","Statisticians",155.0
157,"15-2090","broad_occupation","Miscellaneous Mathematical Science Occupations","Miscellaneous Mathematical Science Occupations","","Miscellaneous Mathematical Science Occupations","Miscellaneous Mathematical Science Occupations",148.0
158,"15-2091","detailed_occupation","Mathematical Technicians","Técnicos Matemáticos","Técnicos Matemáticos","Mathematical Technicians","Mathematical Technicians",157.0
159,"15-2099","detailed_occupation","Mathematical Science Occupations, All Other","Todas las Demás Ocupaciones Relacionadas con las Ciencias Matemáticas","Otras Ocupaciones Relacionadas con Matemáticas","Mathematical Science Occupations, All Other","Mathematical Science Occupations, All Other",157.0
160,"17-0000","major_group","Architecture and Engineering Occupations","Ocupaciones de Arquitectura e Ingeniería","","Architecture and Engineering Occupations","Architecture and Engineering Occupations",""
161,"17-1000","minor_group","Architects, Surveyors, and Cartographers","Architects, Surveyors, and Cartographers","","Architects, Surveyors, and Cartographers","Architects, Surveyors, and Cartographers",160.0
162,"17-1010","broad_occupation","Architects, Except Naval","Architects, Except Naval","","Architects, Except Naval","Architects, Except Naval",161.0
163,"17-1011","detailed_occupation","Architects, Except Landscape and Naval","Arquitectos, Excepto Paisajistas y Navales","Arquitectos, Excepto Paisajistas y Navales","Architects, Except Landscape and Naval","Architects, Except Landscape and Naval",162.0
164,"17-1012","detailed_occupation","Landscape Architects","Arquitectos Paisajistas","Arquitectos Paisajistas","Landscape Architects","Landscape Architects",162.0
165,"17-1020","broad_occupation","Surveyors, Cartographers, and Photogrammetrists","Surveyors, Cartographers, and Photogrammetrists","","Surveyors, Cartographers, and Photogrammetrists","Surveyors, Cartographers, and Photogrammetrists",161.0
166,"17-1021","detailed_occupation","Cartographers and Photogrammetrists","Cartógrafos y Fotogrametristas","Cartógrafos y Fotogrametristas","Cartographers and Photogrammetrists","Cartographers and Photogrammetrists",165.0
167,"17-1022","detailed_occupation","Surveyors","Agrimensores","Agrimensores","Surveyors","Surveyors",165.0
168,"17-2000","minor_group","Engineers","Engineers","","Engineers","Engineers",160.0
169,"17-2010","broad_occupation","Aerospace Engineers","Aerospace Engineers","","Aerospace Engineers","Aerospace Engineers",168.0
170,"17-2011","detailed_occupation","Aerospace Engineers","Ingenieros Aeroespaciales","Ingenieros Aeroespaciales","Aerospace Engineers","Aerospace Engineers",169.0
171,"17-2020","broad_occupation","Agricultural Engineers","Agricultural Engineers","","Agricultural Engineers","Agricultural Engineers",168.0
172,"17-2021","detailed_occupation","Agricultural Engineers","Ingenieros Agrónomos","Ingenieros Agrónomos","Agricultural Engineers","Agricultural Engineers",171.0
173,"17-2030","broad_occupation","Biomedical Engineers","Biomedical Engineers","","Biomedical Engineers","Biomedical Engineers",168.0
174,"17-2031","detailed_occupation","Biomedical Engineers","Ingenieros Biomédicos","Ingenieros Biomédicos","Biomedical Engineers","Biomedical Engineers",173.0
175,"17-2040","broad_occupation","Chemical Engineers","Chemical Engineers","","Chemical Engineers","Chemical Engineers",168.0
176,"17-2041","detailed_occupation","Chemical Engineers","Ingenieros Químicos","Ingenieros Químicos","Chemical Engineers","Chemical Engineers",175.0
177,"17-2050","broad_occupation","Civil Engineers","Civil Engineers","","Civil Engineers","Civil Engineers",168.0
