code_col_4dig	division_2dig	prosp_cat	col_ind_name_sp_full	col_ind_name_sp_long	col_ind_name_sp_short	col_ind_name_en_long	col_ind_name_en_short	col_div_name_sp_full	col_div_name_sp_long	col_div_name_sp_short	col_div_name_en_long	col_div_name_en_short	cat_en	cat_sp
122	1	2	Cría especializada de ganado porcino	Cría especializada de ganado porcino	Ganado porcino	Farming of swine	Swine	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
123	1	2	Cría especializada de aves de corral	Cría especializada de aves de corral	Aves de corral	Farming of poultry	Poultry	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
124	1	2	Cría especializada de ovejas, cabras, caballos, asnos, mulas y burdéganos	Cría especializada de ovejas, cabras, caballos, asnos, mulas y burdéganos	Ovejas, cabras y equinos	Farming of sheep, goats, horses, asses, mules and hinnies	Sheep, goats, horses, asses, mules and hinnies	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
125	1	2	Cría especializada de otros animales ncp y la obtención de sus productos	Cría especializada de otros animales ncp y la obtención de sus productos	Otros animales	Other animal farming and production of animal products n.e.c.	Other animal farming	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
129	1	2	Actividad pecuaria no especializada	Actividad pecuaria no especializada	Actividad pecuaria no especializada	Non-specialized farming of animals	Non-specialized farming of animals	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
129	1	2	Actividad pecuaria no especializada	Actividad pecuaria no especializada	Actividad pecuaria no especializada	Non-specialized farming of animals	Non-specialized farming of animals	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
130	1	2	Actividad mixta (agrícola y pecuaria)	Actividad mixta (agrícola y pecuaria)	Agropecuaria mixta	Growing of crops combined with farming of animals (mixed farming)	Mixed farming	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
140	1	2	Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias	Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias	Servicios agropecuarios	Agricultural and animal husbandry service activities, except veterinary activities	Farming services	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
150	1	2	Caza ordinaria y mediante trampas y repoblación de animales de caza, incluso las actividades de servicios conexas	Caza ordinaria y mediante trampas y repoblación de animales de caza, incluso las actividades de servicios conexas	Cacería	Hunting, trapping and game propagation including related service activities	Hunting	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
201	2	2	Silvicultura y explotación de la madera	Silvicultura y explotación de la madera	Silvicultura	Forestry, logging and related service activities	Forestry and logging	Silvicultura, extracción de madera y actividades de servicios conexas	Silvicultura, extracción de madera y actividades de servicios conexas	Silvicultura	Forestry, logging and related service activities	Forestry and logging	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
202	2	2	Actividades de servicios relacionadas con la silvicultura y la extracción de la madera	Actividades de servicios relacionadas con la silvicultura y la extracción de la madera	Servicios de silvicultura	Service activities related to forestry and lgging	Service activities related to forestry and lgging	Silvicultura, extracción de madera y actividades de servicios conexas	Silvicultura, extracción de madera y actividades de servicios conexas	Silvicultura	Forestry, logging and related service activities	Forestry and logging	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
501	5	2	Pesca y cultivo de peces en criaderos y granjas piscícolas	Pesca y cultivo de peces en criaderos y granjas piscícolas	Cría de peces	Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing	Fish hatcheries and farms	Pesca, producción de peces en criaderos y granjas piscícolas; actividades de servicios relacionadas con la pesca	Pesca, producción de peces en criaderos y granjas piscícolas; actividades de servicios relacionadas con la pesca	Cría de peces	Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing	Fish hatcheries and farms	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
502	5	2	Actividades de servicios relacionadas con la pesca _	Actividades de servicios relacionadas con la pesca	Servicios para la cría de peces	Service activities incidental to fishing	Service activities incidental to fishing	Pesca, producción de peces en criaderos y granjas piscícolas; actividades de servicios relacionadas con la pesca	Pesca, producción de peces en criaderos y granjas piscícolas; actividades de servicios relacionadas con la pesca	Cría de peces	Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing	Fish hatcheries and farms	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1010	10	4	Extracción y aglomeración de hulla (carbón de piedra)	Extracción y aglomeración de hulla (carbón de piedra)	Carbón de piedra	Mining and agglomeration of hard coal	Coal	Extracción de carbón, carbón lignítico y turba	Extracción de carbón, carbón lignítico y turba	Carbón, carbón lignítico y turba	Mining of coal and lignite; extraction of peat	Coal, lignite and pear	Minerals	Minerales
1020	10	4	Extracción y aglomeración de carbón lignítico	Extracción y aglomeración de carbón lignítico	Carbón lignítico	Mining and agglomeration of lignite	Lignite	Extracción de carbón, carbón lignítico y turba	Extracción de carbón, carbón lignítico y turba	Carbón, carbón lignítico y turba	Mining of coal and lignite; extraction of peat	Coal, lignite and pear	Minerals	Minerales
1030	10	4	Extracción y aglomeración de turba	Extracción y aglomeración de turba	Turba	Extraction and agglomeration of peat	Peat	Extracción de carbón, carbón lignítico y turba	Extracción de carbón, carbón lignítico y turba	Carbón, carbón lignítico y turba	Mining of coal and lignite; extraction of peat	Coal, lignite and pear	Minerals	Minerales
1110	11	4	Extracción de petróleo crudo y de gas natural	Extracción de petróleo crudo y de gas natural	Petróleo crudo y gas natural	Extraction of crude petroleum and natural gas	Crude petroleum and natural gas	Extracción de petróleo crudo y de gas natural, actividades de servicios relacionadas con la extracción de petróleo y de gas, excepto las actividades de prospección	Extracción de petróleo crudo y de gas natural, actividades de servicios relacionadas con la extracción de petróleo y de gas, excepto las actividades de prospección	Petróleo crudo y gas natural	Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction excluding surveying	Crude petroleum and natural gas	Minerals	Minerales
1120	11	4	Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección	Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección	Servicios para extracción de petróleo y gas	Service activities incidental to oil and gas extraction, excluding surveying	Service for oil and gas extraction	Extracción de petróleo crudo y de gas natural, actividades de servicios relacionadas con la extracción de petróleo y de gas, excepto las actividades de prospección	Extracción de petróleo crudo y de gas natural, actividades de servicios relacionadas con la extracción de petróleo y de gas, excepto las actividades de prospección	Petróleo crudo y gas natural	Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction excluding surveying	Crude petroleum and natural gas	Minerals	Minerales
1200	12	4	Extracción de minerales de uranio y de torio	Extracción de minerales de uranio y de torio	Uranio	Mining of uranium and thorium ores	Uranium ores	Extracción de minerales de uranio y de torio	Extracción de minerales de uranio y de torio	Uranio	Mining of uranium and thorium ores	Uranium ores	Minerals	Minerales
1310	13	5	Extracción del mineral de hierro	Extracción del mineral de hierro	Minería hierro	Mining of iron ores	Iron ores	Extracción de minerales metalíferos	Extracción de minerales metalíferos	Minería metales	Mining of metal ores	Metal ores	Metals	Metales
1320	13	3	Extracción de metales preciosos	Extracción de metales preciosos	Metales preciosos	Mining of precious metals	Precious metals	Extracción de minerales metalíferos	Extracción de minerales metalíferos	Minería metales	Mining of metal ores	Metal ores	Stone & Glass	Piedra y Vidrio
1331	13	5	Extracción de minerales de níquel	Extracción de minerales de níquel	Minería de níquel	Mining of nickel ores	Nickel ores	Extracción de minerales metalíferos	Extracción de minerales metalíferos	Minería metales	Mining of metal ores	Metal ores	Metals	Metales
1339	13	5	Extracción de otros minerales metalíferos no ferrosos, excepto níquel	Extracción de otros minerales metalíferos no ferrosos, excepto níquel	Otra minería metal no ferrosos	Mining of other non-ferrous metal ores, except nickel	Other non-ferrous metal ores	Extracción de minerales metalíferos	Extracción de minerales metalíferos	Minería metales	Mining of metal ores	Metal ores	Metals	Metales
1411	14	3	Extracción de piedra, arena y arcillas comunes	Extracción de piedra, arena y arcillas comunes	Piedra, arena, arcillas	Quarrying of stone, sand and clay	Stone, sand and clay	Explotación de minerales no metálicos	Explotación de minerales no metálicos	Minerales no metálicos	Mining of non-metallic minerals	Non-metallic minerals	Stone & Glass	Piedra y Vidrio
1412	14	3	Extracción de yeso y anhidrita	Extracción de yeso y anhidrita	Yeso y anhidrita	Quarrying of gypsum and anhydrite	Gypsum and anhydrite	Explotación de minerales no metálicos	Explotación de minerales no metálicos	Minerales no metálicos	Mining of non-metallic minerals	Non-metallic minerals	Stone & Glass	Piedra y Vidrio
1413	14	3	Extracción de caolín, arcillas de uso industrial y bentonitas	Extracción de caolín, arcillas de uso industrial y bentonitas	Caolín, arcillas de uso industrial y bentonitas	Quarrying of kaolin, industrial clays and bentonites	Kaolin, industrial clays and bentonites	Explotación de minerales no metálicos	Explotación de minerales no metálicos	Minerales no metálicos	Mining of non-metallic minerals	Non-metallic minerals	Stone & Glass	Piedra y Vidrio
1414	14	3	Extracción de arenas y gravas silíceas	Extracción de arenas y gravas silíceas	Arenas y gravas silíceas	Quarrying of siliceous sands and gravels	Siliceous sands and gravels	Explotación de minerales no metálicos	Explotación de minerales no metálicos	Minerales no metálicos	Mining of non-metallic minerals	Non-metallic minerals	Stone & Glass	Piedra y Vidrio
1415	14	3	Extracción de caliza y dolomita	Extracción de caliza y dolomita	Caliza y dolomita	Quarrying of limestone and dolomite	Limestone and dolomite	Explotación de minerales no metálicos	Explotación de minerales no metálicos	Minerales no metálicos	Mining of non-metallic minerals	Non-metallic minerals	Stone & Glass	Piedra y Vidrio
1421	14	4	Extracción de minerales para la fabricación de abonos y productos químicos	Extracción de minerales para la fabricación de abonos y productos químicos	Minerales para abonos y químicos	Mining of chemical and fertilizer minerals	Mining of chemical and fertilizer minerals	Explotación de minerales no metálicos	Explotación de minerales no metálicos	Minerales no metálicos	Mining of non-metallic minerals	Non-metallic minerals	Minerals	Minerales
1422	14	4	Extracción de halita (sal)	Extracción de halita (sal)	Sal	Extraction of salt	Salt	Explotación de minerales no metálicos	Explotación de minerales no metálicos	Minerales no metálicos	Mining of non-metallic minerals	Non-metallic minerals	Minerals	Minerales
1431	14	3	Extracción de esmeraldas	Extracción de esmeraldas	Esmeraldas	Mining of emeralds	Emeralds	Explotación de minerales no metálicos	Explotación de minerales no metálicos	Minerales no metálicos	Mining of non-metallic minerals	Non-metallic minerals	Stone & Glass	Piedra y Vidrio
1432	14	3	Extracción de otras piedras preciosas y semipreciosas	Extracción de otras piedras preciosas y semipreciosas	Otras piedras preciosas y semipreciosas	Mining of other precious and semi-precious stones	Other precious and semi-precious stones	Explotación de minerales no metálicos	Explotación de minerales no metálicos	Minerales no metálicos	Mining of non-metallic minerals	Non-metallic minerals	Stone & Glass	Piedra y Vidrio
1490	14	4	Extracción de otros minerales no metálicos ncp	Extracción de otros minerales no metálicos ncp	Otros minerales no metálicos ncp	Mining and quarrying of other non-metal minerals n.e.c.	Other non-metallic minerals nec	Explotación de minerales no metálicos	Explotación de minerales no metálicos	Minerales no metálicos	Mining of non-metallic minerals	Non-metallic minerals	Minerals	Minerales
1511	15	2	Producción, transformación y conservación de carne y de derivados cárnicos	Producción, transformación y conservación de carne y de derivados cárnicos	Carne y de derivados cárnicos	Production, processing and preserving of meat and meat products	Meat and meat products	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1512	15	2	Transformación y conservación de pescado y de derivados del pescado	Transformación y conservación de pescado y de derivados del pescado	Pescado y de derivados del pescado	Processing and preserving of fish and fish products	Fish and fish derivatives	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1521	15	2	Elaboración de alimentos compuestos principalmente de frutas, legumbres y hortalizas	Elaboración de alimentos compuestos principalmente de frutas, legumbres y hortalizas	Alimentos de frutas, legumbres y hortalizas	Processing and preserving of fruit and vegetables	Fruits and vegetables	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1522	15	2	Elaboración de aceites y grasas de origen vegetal y animal	Elaboración de aceites y grasas de origen vegetal y animal	Aceites y grasas de origen vegetal y animal	Manufacture of vegetable and animal oils and fats	Vegetable and animal oils and fats	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1530	15	2	Elaboración de productos lácteos	Elaboración de productos lácteos	Productos lácteos	Manufacture of dairy products	Dairy products	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1541	15	2	Elaboración de productos de molinería	Elaboración de productos de molinería	Productos de molinería	Manufacture of grain mill products	Grain mill products	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1542	15	2	Elaboración de almidones y de productos derivados del almidón	Elaboración de almidones y de productos derivados del almidón	Almidones y de productos derivados del almidón	Manufacture of starches and starch products	Starches and starch products	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1543	15	2	Elaboración de alimentos preparados para animales	Elaboración de alimentos preparados para animales	Alimentos preparados para animales	Manufacture of prepared animal feeds	Prepared animal feeds	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1551	15	2	Elaboración de productos de panadería	Elaboración de productos de panadería	Productos de panadería	Manufacture of bakery products	Bakery products	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1552	15	2	Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares	Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares	Macarrones, fideos, etc.	Manufacture of macaroni, noodles, couscous and similar farinaceous products	Macaroni, noodles, couscous etc.	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1561	15	2	Trilla de café	Trilla de café	Trilla de café	Coffee threshings	Coffee threshings	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1562	15	2	Descafeinado	Descafeinado	Descafeinado	Manufacture of decaffeinated coffee	Decaffeinated coffee	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1563	15	2	Tostión y molienda del café	Tostión y molienda del café	Tostión y molienda del café	Toasting and grinding of coffee	Coffee roasting and grinding	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1564	15	2	Elaboración de otros derivados del café	Elaboración de otros derivados del café	Otros derivados del café	Manufacture of coffee derivatives	Other coffee derivatives	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1571	15	2	Fabricación y refinación de azúcar	Fabricación y refinación de azúcar	Azúcar	Manufacture of sugar	Sugar	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1572	15	2	Fabricación de panela	Fabricación de panela	Panela	Manufacture of brown sugar	Brown sugar	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1581	15	2	Elaboración de cacao, chocolate y productos de confitería	Elaboración de cacao, chocolate y productos de confitería	Cacao, chocolate y productos de confitería	Manufacture of cocoa, chocolate and sugar confectionery	Cocoa, chocolate and sugar confectionery	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1589	15	2	Elaboración de otros productos alimenticios ncp	Elaboración de otros productos alimenticios ncp	Otros productos alimenticios ncp	Manufacture of other food products n.e.c.	Other food products n.e.c.	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1591	15	2	Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico a partir de sustancias fermentadas	Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico a partir de sustancias fermentadas	Destilación de bebidas alcohólicas y producción de alcohol etílico	Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials	Distillation of spirits and production of ethyl alcohol	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1592	15	2	Elaboración de bebidas fermentadas no destiladas	Elaboración de bebidas fermentadas no destiladas	Bebidas fermentadas no destiladas	Manufacture of wines	Wines	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1593	15	2	Producción de malta, elaboración de cervezas y otras bebidas malteadas	Producción de malta, elaboración de cervezas y otras bebidas malteadas	Malta, cervezas y otras bebidas malteadas	Manufacture of malt liquors and malt	Malt liquors and malt	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1594	15	2	Elaboración de bebidas no alcohólicas; producción de aguas minerales	Elaboración de bebidas no alcohólicas; producción de aguas minerales	Bebidas no alcohólicas y aguas minerales	Manufacture of soft drinks; production of mineral waters	Soft drinks and mineral waters	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1600	16	2	Fabricación de productos de tabaco	Fabricación de productos de tabaco	Productos de tabaco	Manufacture of tobacco products	Tobacco products	Fabricación de productos de tabaco	Fabricación de productos de tabaco	Productos de tabaco	Manufacture of tobacco products	Tobacco products	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
1710	17	1	Preparación e hilatura de fibras textiles	Preparación e hilatura de fibras textiles	Fibras textiles	Preparation and spinning of textile fibers	Textile fibers	Fabricación de productos textiles	Fabricación de productos textiles	Productos textiles	Manufacture of textiles	Textiles	Textiles & Furniture	Textiles y Muebles
1720	17	1	Tejedura de productos textiles	Tejedura de productos textiles	Productos textiles	Weaving of textiles	Textiles	Fabricación de productos textiles	Fabricación de productos textiles	Productos textiles	Manufacture of textiles	Textiles	Textiles & Furniture	Textiles y Muebles
1730	17	1	Acabado de productos textiles no producidos en la misma unidad de producción	Acabado de productos textiles no producidos en la misma unidad de producción	Productos textiles no producidos en la misma unidad de producción	Finishing of textiles	Finishing of textiles	Fabricación de productos textiles	Fabricación de productos textiles	Productos textiles	Manufacture of textiles	Textiles	Textiles & Furniture	Textiles y Muebles
