code,level,name_es,name_en,name_short_es,name_short_en,,,,name_orig_en,name_orig_es,code_orig
301,4digit,Peces vivos,Live fish,Peces vivos,Live Fish,,,,"Ornamental fish, live",Peces vivos,3.01
302,4digit,"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04.","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304","Pescado, excepto los filetes","Fish, excluding fillets",,,,"Fish, excluding fillets","Pescado, excepto los filetes",3.02
303,4digit,"Pescado congelado, excepto los filetes y demás carne de pescado de la partida 03.04.","Fish, frozen, excluding fish fillets and other fish meat of heading 0304","Pescado congelado, excepto los filetes","Frozen fish, excluding fillets",,,,"Frozen fish, excluding fillets","Pescado congelado, excepto los filetes",3.03
304,4digit,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados.","Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen",Filetes de pescado,Fish fillets,,,,Fish fillet or meat,Filetes y demás carne de pescado,3.04
305,4digit,"Pescado seco, salado o en salmuera; pescado ahumado, incluso cocido antes o durante el ahumado; harina, polvo y “pellets” de pescado, aptos para la alimentación humana.","Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption",Pescado preservado,Preserved fish,,,,"Fish flours, meals & pellets for human consumption",Pescado preservado,3.05
306,4digit,"Crustáceos, incluso pelados, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; crustáceos ahumados, incluso pelados o cocidos, antes o durante el ahumado; crustáceos sin pelar, cocidos en agua o vapor, incluso refrigerados, congelados, secos, salados o en salmuera; harina, polvo y “pellets” de crustáceos, aptos para consumo humano.","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crusta",Crustáceos,Crustaceans,,,,Crustaceans,Crustáceos,3.06
307,4digit,"Moluscos, incluso separados de sus valvas, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; moluscos ahumados, incluso pelados o cocidos, antes o durante el ahumado; harina, polvo y “pellets” de moluscos, aptos para consumo humano.","Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebra",Moluscos,Molluscs,,,,Molluscs,Moluscos,3.07
308,4digit,"Invertebrados acuáticos, excepto los crustáceos y moluscos, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; invertebrados acuáticos, excepto los crustáceos y moluscos, ahumados, incluso cocidos antes o durante el ahumado; harina, polvo y “pellets”, de invertebrados acuáticos excepto los crustáceos y moluscos, aptos para consumo humano.",,Invertebrados acuáticos,Aquatic invertibrates,,,,,"Invertebrados acuáticos, excepto los crustáceos y moluscoso",3.08
401,4digit,"Leche y nata (crema), sin concentrar, sin adición de azúcar ni otro edulcorante.","Milk and cream, not concentrated nor containing added sugar or other sweetening matter",Leche,Milk,,,,Milk and cream,Leche y nata,4.01
402,4digit,"Leche y nata (crema), concentradas o con adición de azúcar u otro edulcorante.","Milk and cream, concentrated or containing added sugar or other sweetening matter","Leche, concentrada","Milk, concentrated",,,,"Milk and cream, concentrated","Leche y nata, concentradas",4.02
403,4digit,"Suero de mantequilla, leche y nata (crema) cuajadas, yogur, kefir y demás leches y natas (cremas), fermentadas o acidificadas, incluso concentrados, con adición de azúcar u otro edulcorante, aromatizados o con frutas u otros frutos o cacao.","Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavored or containing added fruit, nuts or cocoa","Productos de leche, fermentada",Fermented milk products,,,,Fermented milk and cream products,Productos de leche y nata fermentadas,4.03
404,4digit,"Lactosuero, incluso concentrado o con adición de azúcar u otro edulcorante; productos constituidos por los componentes naturales de la leche, incluso con adición de azúcar u otro edulcorante, no expresados ni comprendidos en otra parte.","Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",Lactosuero,Whey,,,,Whey,Lactosuero,4.04
405,4digit,Mantequilla y demás materias grasas de la leche; pastas lácteas para untar.,Butter and other fats and oils derived from milk; dairy spreads,Mantequilla,Butter,,,,Butter,Mantequilla,4.05
406,4digit,Quesos y requesón,Cheese and curd,Quesos y requesón,Cheese,,,,Fresh cheese,Quesos y requesón,4.06
407,4digit,"Huevos de ave con cáscara (cascarón), frescos, conservados o cocidos.","Birds eggs, in shell, fresh, preserved or cooked",Huevos de ave,"Eggs, in shell",,,,"Birds eggs, in shell",Huevos de ave con cáscara,4.07
408,4digit,"Huevos de ave sin cáscara (cascarón) y yemas de huevo, frescos, secos, cocidos en agua o vapor, moldeados, congelados o conservados de otro modo, incluso con adición de azúcar u otro edulcorante.","Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, molded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter",Yemas de huevo,Egg yolks,,,,Egg yolks dried,Yemas de huevo y huevos de ave sin cáscara,4.08
409,4digit,Miel natural.,Amber or darker,Miel natural,Honey,,,,Honey,Miel natural,4.09
501,4digit,"Cabello en bruto, incluso lavado o desgrasado; desperdicios de cabello.","Human hair, unworked, whether or not washed or scoured; waste of human hair",Cabello en bruto,"Human hair, unworked",,,,"Human hair, unworked",Cabello en bruto,5.01
502,4digit,Cerdas de cerdo o de jabalí; pelo de tejón y demás pelos para cepillería; desperdicios de dichas cerdas o pelos.,"Pigs', hogs' or boars' bristles and hair; badger hair and other brushmaking hair; waste of such bristles or hair",Pelos para cepillería,Brushmaking hair,,,,"Bristles, hair of pigs, hogs or boars",Pelos para cepillería,5.02
504,4digit,"Tripas, vejigas y estómagos de animales, excepto los de pescado, enteros o en trozos, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados.","Guts, bladders and stomachs of animals except fish","Tripas de animales, excepto los de pescado","Animal guts, except fish",,,,Guts of animals except fish,"Tripas, vejigas y estómagos de animales, excepto los de pescado",5.04
505,4digit,"Pieles y demás partes de ave, con sus plumas o plumón, plumas y partes de plumas (incluso recortadas) y plumón, en bruto o simplemente limpiados, desinfectados o preparados para su conservación; polvo y desperdicios de plumas o de partes de plumas.","Skins and other parts of birds, with their feathers or down, feathers and parts of feathers(whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of fea",Plumas y plumón,Feathers and down,,,,Feathers and down for stuffing,Plumas y plumón,5.05
506,4digit,"Huesos y núcleos córneos, en bruto, desgrasados, simplemente preparados (pero sin cortar en forma determinada), acidulados o desgelatinizados; polvo y desperdicios de estas materias.","Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinized; powder and waste of these products",Huesos preparados,"Bones and horn-cores, simply prepared",,,,Collagen of bones treated with acid,Huesos preparados acidulados,5.06
507,4digit,"Marfil, concha (caparazón) de tortuga, ballenas de mamíferos marinos (incluidas las barbas), cuernos, astas, cascos, pezuñas, uñas, garras y picos, en bruto o simplemente preparados, pero sin cortar en forma determinada; polvo y desperdicios de estas materias.","Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products","Marfil, cuernos, etc.","Ivory, tortoise-shell, whalebone, etc.",,,,"Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks","Marfil, concha de tortuga, cuernos, etc",5.07
508,4digit,"Coral y materias similares, en bruto o simplemente preparados, pero sin otro trabajo; valvas y caparazones de moluscos, crustáceos o equinodermos, y jibiones, en bruto o simplemente preparados, pero sin cortar en forma determinada, incluso en polvo y desperdicios.","Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape, powder and waste thereof",Coral y materias similares,Coral and shells,,,,"Coral, seashell, cuttle bone, etc",Coral y materias similares,5.08
511,4digit,"Productos de origen animal no expresados ni comprendidos en otra parte; animales muertos de los Capítulos 1 ó 3, impropios para la alimentación humana.","Animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption",Productos de origen animal no expresados en otra parte,Animal products not elsewhere specified,,,,Animal products not elsewhere specified,Productos de origen animal no expresados en otra parte,5.11
601,4digit,"Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo, en vegetación o en flor; plantas y raíces de achicoria, excepto las raíces de la partida 12.12.","Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 1212","Bulbos, cebollas, etc.",Flower bulbs,,,,"Bulbs, tubers, corms, crowns and rhizomes, dormant","Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones y rizomas",6.01
602,4digit,"Las demás plantas vivas (incluidas sus raíces), esquejes e injertos; micelios.","Other live plants (including their roots), cuttings and slips; mushroom spawn",Plantas vivas con raíces,Other live plants,,,,Live plants with roots,Plantas vivas con raíces,6.02
603,4digit,"Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, teñidos, impregnados o preparados de otra forma.","Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared","Flores cortados, frescos",Cut flowers,,,,"Cut flowers, fresh","Flores cortados, frescos",6.03
604,4digit,"Follaje, hojas, ramas y demás partes de plantas, sin flores ni capullos, y hierbas, musgos y líquenes, para ramos o adornos, frescos, secos, blanqueados, teñidos, impregnados o preparados de otra forma.","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",Otras partes de plantas,Other parts of plants,,,,"Foliage, branches and other parts of plants","Follaje, hojas, ramas y demás partes de plantas",6.04
701,4digit,Papas (patatas) frescas o refrigeradas.,"Potatoes, fresh or chilled",Papas frescas o refrigeradas,Potatoes,,,,Potatoes,Papas (patatas) frescas o refrigeradas,7.01
702,4digit,Tomates frescos o refrigerados,"Tomatoes, fresh or chilled",Tomates frescos o refrigerados,Tomatoes,,,,Tomatoes,Tomates frescos o refrigerados,7.02
703,4digit,"Cebollas, chalotes, ajos, puerros y demás hortalizas aliáceas, frescos o refrigerados.","Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled","Cebollas, chalotes, ajo etc. ","Onions, shallots, garlic, etc.",,,,Onions and shallots,Cebollas y chalotes,7.03
704,4digit,"Coles, incluidos los repollos, coliflores, coles rizadas, colinabos y productos comestibles similares del género Brassica, frescos o refrigerados.","Cabbages, cauliflower, kohlrabi, kale and similar edible brassicas, fresh or chilled","Coles, coliflores etc.","Cabbages, cauliflower, kale, etc.",,,,"Cabbages, cauliflower, kohlrabi, kale, broccoli","Coles, coliflores, coles rizadas, colinabos, etc",7.04
705,4digit,"Lechugas (Lactuca sativa) y achicorias, comprendidas la escarola y la endibia (Cichorium spp.), frescas o refrigeradas.","Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled",Lechuga,Lettuce,,,,Lettuce,Lechuga,7.05
706,4digit,"Zanahorias, nabos, remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles similares, frescos o refrigerados.","Carrots, turnips, salad beets (salad beetroot), salsify, celeriac, radishes and similar edible roots, fresh or chilled","Zanahorias, nabos y remolachas","Carrots, turnips, beets, etc.",,,,"Carrots, turnips and beets","Zanahorias, nabos y remolachas",7.06
707,4digit,"Pepinos y pepinillos, frescos o refrigerados","Cucumbers, including gherkins, fresh or chilled",Pepinos,Cucumbers,,,,Cucumbers,"Pepinos y pepinillos, frescos o refrigerados",7.07
708,4digit,"Hortalizas de vaina, aunque estén desvainadas, frescas o refrigeradas.","Leguminous vegetables, shelled or unshelled, fresh or chilled",Legumbres,Legumes,,,,Legumes,Legumbres,7.08
709,4digit,"Las demás hortalizas, frescas o refrigeradas.","Other vegetables, fresh or chilled",Las demás hortalizas,Other vegetables,,,,Other vegetables,"Las demás hortalizas, frescas o refrigeradas",7.09
711,4digit,"Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha conservación), pero todavía impropias para consumo inmediato.","Vegetables provisionally preserved (for example, by sulfur dioxide gas, in brine, in sulfur water or in other preservative solutions), but unsuitable in that state for immediate consumption",Hortalizas conservadas provisionalmente,"Vegetables, provisionally preserved",,,,Vegetables provisionally preserved,Hortalizas conservadas provisionalmente,7.11
712,4digit,"Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o pulverizadas, pero sin otra preparación.","Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared",Hortalizas secas,"Vegetables, dried",,,,Dried vegetables,Hortalizas secas,7.12
713,4digit,"Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas.","Dried leguminous vegetables, shelled, whether or not skinned or split",Hortalizas de vaina secas,"Legumes, dried",,,,Dried legumes,Hortalizas de vaina secas,7.13
714,4digit,"Raíces de yuca (mandioca), arrurruz o salep, aguaturmas (patacas), camotes (boniatos, batatas) y raíces y tubérculos similares ricos en fécula o inulina, frescos, refrigerados, congelados o secos, incluso troceados o en “pellets”; médula de sagú.","Cassava (manioc), arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith",Yuca y raíces similares,Tubers,,,,Manioc (cassava),Yuca y raíces similares,7.14
801,4digit,"Cocos, nueces del Brasil y nueces de marañón (merey, cajuil, anacardo, “cajú”), frescos o secos, incluso sin cáscara o mondados.","Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled","Cocos, nueces del Brasil y nueces de marañón","Coconuts, Brazil nuts and cashews",,,,"Coconuts, Brazil nuts and cashew nuts","Cocos, nueces del Brasil y nueces de marañón",8.01
802,4digit,"Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados.","Other nuts, fresh or dried, whether or not shelled or peeled",Los demás frutos de cáscara ,Other nuts,,,,Other nuts,Otras hembrillas,8.02
803,4digit,"Bananas, incluidos los plátanos para cocinar (plantains), frescos o secos.","Bananas and plantains, fresh or dried",Bananas y plátanos,Bananas and plantains,,,,Bananas and plantains,Bananas y plátanos,8.03
804,4digit,"Dátiles, higos, piñas (ananás), aguacates (paltas), guayabas, mangos y mangostanes, frescos o secos.","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried","Dátiles, piñas, aguacates, etc.","Dates, figs, pineapples, avocados, guavas, mangos",,,,"Dates, figs, pineapples, avocados, guavas and mangoes","Dátiles, higos, piñas, aguacates, guayabas y mangos",8.04
805,4digit,Agrios (cítricos) frescos o secos.,"Citrus fruit, fresh or dried",Agrios,Citrus fruit,,,,Citrus fruit,Agrios (cítricos) frescos o secos,8.05
806,4digit,"Uvas, frescas o secas, incluidas las pasas.","Grapes, fresh or dried",Uvas,Grapes,,,,Grapes,"Uvas, frescas o secas, incluidas las pasas",8.06
807,4digit,"Melones, sandías y papayas, frescos.","Melons (including watermelons) and papayas (papaws), fresh",Melones y papayas,Melons and papayas,,,,Melons,"Melones, sandías y papayas, frescos",8.07
808,4digit,"Manzanas, peras y membrillos, frescos.","Apples, pears and quinces, fresh","Manzanas, peras y membrillos","Apples, pears and quinces",,,,Apples,"Manzanas, peras y membrillos, frescos",8.08
809,4digit,"Chabacanos (damascos, albaricoques), cerezas, duraznos (melocotones) (incluidos los griñones y nectarinas), ciruelas y endrinas, frescos.","Apricots, cherries, peaches (including nectarines), plums (including prune plums) and sloes, fresh",Chabacanos,"Apricots, cherries, peaches, plums",,,,Apricots,Chabacanos,8.09
811,4digit,"Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso con adición de azúcar u otro edulcorante.","Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter","Frutas y frutos secos, congelados","Fruits and nuts, frozen",,,,Fruits and nuts frozen,"Frutas y frutos secos, congelados",8.11
812,4digit,"Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para dicha conservación), pero todavía impropios para consumo inmediato.","Fruit and nuts, provisionally preserved (for example, by sulfur dioxide gas, in brine, in sulfur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Frutas y frutos secos, conservados provisionalmente","Fruits and nuts, provisionally preserved",,,,Preserved fruit and nuts,"Frutas y frutos secos, conservados provisionalmente, no para consumo inmediato",8.12
813,4digit,"Frutas y otros frutos, secos, excepto los de las partidas 08.01 a 08.06; mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo.","Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter",Otras frutas secas,"Fruits, dried",,,,"Apricots, dried",Albaricoques y otras frutas secas,8.13
814,4digit,"Cortezas de agrios (cítricos), melones o sandías, frescas, congeladas, secas o presentadas en agua salada, sulfurosa o adicionada de otras sustancias para su conservación provisional.","Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulfur water or in other preservative solutions","Cortezas de agrios, melones o sandías",Peel of citrus fruit or melons,,,,Peel of citrus fruit or melons,"Cortezas de agrios (cítricos), melones o sandías",8.14
901,4digit,"Café, incluso tostado o descafeinado; cáscara y cascarilla de café; sucedáneos del café que contengan café en cualquier proporción.","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion","Café, no tostado",Coffee,,,,"Coffee, not roasted","Café, no tostado",9.01
902,4digit,"Té, incluso aromatizado.","Tea, whether or not flavored","Té, incluso aromatizado",Tea,,,,Tea,"Té, incluso aromatizado",9.02
903,4digit,Yerba mate.,Mate,Yerba mate,Mate,,,,Mate,Yerba mate,9.03
904,4digit,"Pimienta del género Piper; frutos de los géneros Capsicum o Pimenta, secos, triturados o pulverizados.","Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum (peppers) or of the genus Pimenta (e.g., allspice)",Pimienta,Pepper,,,,"Pepper, whole",Pimientas,9.04
905,4digit,Vainilla.,Vanilla beans,Vainilla,Vanilla,,,,Vanilla beans,Vainilla,9.05
906,4digit,Canela y flores de canelero.,Cinnamon and cinnamon-tree flowers,Canela,Cinnamon,,,,"Cinnamon, whole",Canela y flores de canelero,9.06
907,4digit,"Clavo (frutos, clavillos y pedúnculos).","Cloves (whole fruit, cloves and stems)",Clavos,Cloves,,,,Cloves,"Clavo (frutos, clavillos y pedúnculos)",9.07
908,4digit,"Nuez moscada, macis, amomos y cardamomos.","Nutmeg, mace and cardamoms",Nuez moscada,Nutmeg,,,,Nutmeg,"Nuez moscada, macis, amomos y cardamomos",9.08
909,4digit,"Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro.","Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries","Semillas de anís, badiana etc.","Anise, fennel, etc.",,,,Anise or badian seeds,Semillas de anís o badiana,9.09
1001,4digit,Trigo y morcajo (tranquillón).,Wheat and meslin,Trigo y morcajo,Wheat and meslin,,,,Wheat and meslin,Trigo y morcajo (tranquillón),10.01
1002,4digit,Centeno.,Rye,Centeno,Rye,,,,Rye,Centeno,10.02
1003,4digit,Cebada.,Barley,Cebada,Barley,,,,Barley,Cebada,10.03
1004,4digit,Avena.,Oats,Avena,Oats,,,,Oats,Avena,10.04
1005,4digit,Maíz.,Corn (maize),Maíz,Corn,,,,Maize (corn) seed,Maíz,10.05
1006,4digit,Arroz.,Rice,Arroz,Rice,,,,Rice,Arroz,10.06
1007,4digit,Sorgo de grano (granífero).,Grain sorghum,Sorgo de grano,Grain sorghum,,,,Grain sorghum,Sorgo de grano (granífero),10.07
1008,4digit,"Alforfón, mijo y alpiste; los demás cereales.","Buckwheat, millet and canary seed; other cereals (including wild rice)",Alforfón y los demás cereales,Buckwheat and other cereals,,,,Buckwheat,"Alforfón, mijo y alpiste; los demás cereales",10.08
1101,4digit,Harina de trigo o de morcajo (tranquillón).,Wheat or meslin flour,Harina de trigo o de morcajo,Wheat or meslin flour,,,,Wheat or meslin flour,Harina de trigo o de morcajo (tranquillón),11.01
1102,4digit,"Harina de cereales, excepto de trigo o de morcajo (tranquillón).",Cereal flours other than of wheat or meslin,Harina de cereales,Cereal flours,,,,Cereal flours,Harina de cereales,11.02
1103,4digit,"Grañones, sémola y “pellets”, de cereales.","Cereal groats, meal and pellets",Grañones y sémola de cereales,"Cereal groats, meals and pellets",,,,"Cereal groats, meal and pellets","Grañones, sémola y “pellets”, de cereales",11.03
1104,4digit,"Granos de cereales trabajados de otro modo (por ejemplo: mondados, aplastados, en copos, perlados, troceados o quebrantados), excepto el arroz de la partida 10.06; germen de cereales entero, aplastado, en copos o molido.","Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground",Granos de cereales trabajados,Worked cereal grains,,,,Worked cereal groats,Granos de cereales trabajados,11.04
1105,4digit,"Harina, sémola, polvo, copos, gránulos y “pellets”, de papa (patata).","Flour, meal, powder, flakes, granules and pellets of potatoes",Harina o sémola de papa,Potato flour,,,,Potato flour or meal,Harina o sémola de papa,11.05
1106,4digit,"Harina, sémola y polvo de las hortalizas de la partida 07.13, de sagú o de las raíces o tubérculos de la partida 07.14 o de los productos del Capítulo 08.","Flour, meal and powder of the dried leguminous vegetables of heading 0713, of sago or of roots or tubers of heading 0714 or of the products of chapter 8",Harina de legumbres secas,Flour of dried legumes,,,,Flour or meal of dried legumes,Harina de legumbres secas,11.06
1107,4digit,"Malta (de cebada u otros cereales), incluso tostada.","Malt, whether or not roasted","Malta, incluso tostada",Malt,,,,"Malt, whether or not roasted","Malta (de cebada u otros cereales), incluso tostada",11.07
1108,4digit,Almidón y fécula; inulina.,Starches; inulin,Almidón y fécula,Starches,,,,Starches,Almidón y fécula; inulina,11.08
1109,4digit,"Gluten de trigo, incluso seco.","Wheat gluten, whether or not dried",Gluten de trigo,Wheat gluten,,,,Wheat gluten,"Gluten de trigo, incluso seco",11.09
1201,4digit,"Habas (frijoles, porotos, fréjoles) de soja (soya), incluso quebrantadas.",Soya beans,Habas de soja,Soya beans,,,,Soya beans,Habas de soja,12.01
1202,4digit,"Cacahuates (cacahuetes, maníes) sin tostar ni cocer de otro modo, incluso sin cáscara o quebrantados.","Peanuts (ground-nuts), not roasted or otherwise cooked, whether or not shelled or broken",Cacahuates,Peanuts,,,,Ground-nuts in shell,Cacahuates,12.02
1203,4digit,Copra,Copra,Copra,Copra,,,,Copra,Copra,12.03
1204,4digit,"Semilla de lino, incluso quebrantada.",Linseed,Semillas de lino,Linseed,,,,Linseed,"Semilla de lino, incluso quebrantada",12.04
1205,4digit,"Semillas de nabo (nabina) o de colza, incluso quebrantadas.","Rape or colza seeds, whether or not broken",Semillas de nabo o de colza,Rape or colza seeds,,,,Rape or colza seeds,"Semillas de nabo (nabina) o de colza, incluso quebrantadas",12.05
1206,4digit,"Semilla de girasol, incluso quebrantada.",Sunflower seeds,Semillas de girasol,Sunflower seeds,,,,Sunflower seeds,"Semilla de girasol, incluso quebrantada",12.06
1207,4digit,"Las demás semillas y frutos oleaginosos, incluso quebrantados.","Other oil seeds and oleaginous fruits, whether or not broken",Las demás semillas,Other oil seeds,,,,Other oil seeds,Las demás semillas y frutos oleaginosos,12.07
1208,4digit,"Harina de semillas o de frutos oleaginosos, excepto la harina de mostaza.","Flours and meals of oil seeds or oleaginous fruits, other than those of mustard",Harina de semillas,Flours of oil seeds,,,,Flours and meals of oil seeds,Harina de semillas o de frutos oleaginosos,12.08
1209,4digit,"Semillas, frutos y esporas, para siembra.","Seeds, fruits and spores of a kind used for sowing",Semillas para siembra,Seeds used for sowing,,,,"Seeds, fruits and spores for sowing","Semillas, frutos y esporas, para siembra",12.09
1211,4digit,"Plantas, partes de plantas, semillas y frutos de las especies utilizadas principalmente en perfumería, medicina o para usos insecticidas, parasiticidas o similares, frescos o secos, incluso cortados, quebrantados o pulverizados.","Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered","Plantas utilizadas en perfumería, medicina, etc.","Plants used in perfumery, pharmacy or insecticide",,,,"Plants used in perfumery, in pharmacy or for insecticide","Plantas utilizadas principalmente en perfumería, medicina o para usos insecticidas",12.11
