"","code","name","level","parent_id","name_es","name_en","name_short_es","name_short_en"
13,"0205","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","4digit",8.0,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen","Carne de caballo","Horse meat"
14,"0206","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen","4digit",8.0,"Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados.","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen","Despojos comestibles de animales","Edible offal"
15,"0207","Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen","4digit",8.0,"Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados.","Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen","Pollería","Poultry"
16,"0208","Other meat and edible meat offal, fresh, chilled or frozen","4digit",8.0,"Las demás carnes y despojos comestibles, frescos, refrigerados o congelados.","Other meat and edible meat offal, fresh, chilled or frozen","Las demás carnes","Other meat"
17,"0209","Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked","4digit",8.0,"Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados.","Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked","Grasa de cerdo o ave","Pig and poultry fat"
18,"03","Fish and crustaceans, molluscs and other aquatic invertebrates.","2digit",0.0,"Pescados y crustáceos, moluscos y demás invertebrados acuáticos","Fish and crustaceans, molluscs and other aquatic invertebrates.","Pescado","Fish"
19,"0301","Live fish","4digit",18.0,"Peces vivos","Live fish","Peces vivos","Live Fish"
20,"0302","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304","4digit",18.0,"Pescado fresco o refrigerado, excepto los filetes y demás carne de pescado de la partida 03.04.","Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 0304","Pescado, excepto los filetes","Fish, excluding fillets"
21,"0303","Fish, frozen, excluding fish fillets and other fish meat of heading 0304","4digit",18.0,"Pescado congelado, excepto los filetes y demás carne de pescado de la partida 03.04.","Fish, frozen, excluding fish fillets and other fish meat of heading 0304","Pescado congelado, excepto los filetes","Frozen fish, excluding fillets"
22,"0304","Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen","4digit",18.0,"Filetes y demás carne de pescado (incluso picada), frescos, refrigerados o congelados.","Fish fillets and other fish meat (whether or not minced), fresh, chilled or frozen","Filetes de pescado","Fish fillets"
23,"0305","Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption","4digit",18.0,"Pescado seco, salado o en salmuera; pescado ahumado, incluso cocido antes o durante el ahumado; harina, polvo y “pellets” de pescado, aptos para la alimentación humana.","Fish, dried, salted or in brine; smoked fish, whether or not cooked before or during the smoking process; flours, meals and pellets of fish, fit for human consumption","Pescado preservado","Preserved fish"
24,"0306","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crusta","4digit",18.0,"Crustáceos, incluso pelados, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; crustáceos ahumados, incluso pelados o cocidos, antes o durante el ahumado; crustáceos sin pelar, cocidos en agua o vapor, incluso refrigerados, congelados, secos, salados o en salmuera; harina, polvo y “pellets” de crustáceos, aptos para consumo humano.","Crustaceans, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; crustaceans, in shell, cooked by steaming or by boiling in water, whether or not chilled, frozen, dried, salted or in brine; flours, meals and pellets of crusta","Crustáceos","Crustaceans"
25,"0307","Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebra","4digit",18.0,"Moluscos, incluso separados de sus valvas, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; moluscos ahumados, incluso pelados o cocidos, antes o durante el ahumado; harina, polvo y “pellets” de moluscos, aptos para consumo humano.","Molluscs, whether in shell or not, live, fresh, chilled, frozen, dried, salted or in brine; aquatic invertebrates other than crustaceans and molluscs, live, fresh, chilled, frozen, dried, salted or in brine; flours, meals and pellets of aquatic invertebra","Moluscos","Molluscs"
26,"0308","No name","4digit",18.0,"Invertebrados acuáticos, excepto los crustáceos y moluscos, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; invertebrados acuáticos, excepto los crustáceos y moluscos, ahumados, incluso cocidos antes o durante el ahumado; harina, polvo y “pellets”, de invertebrados acuáticos excepto los crustáceos y moluscos, aptos para consumo humano.","","Invertebrados acuáticos","Aquatic invertibrates"
27,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included.","2digit",0.0,"Producción diaria; huevos de ave; miel natural; productos comestibles de origen animal, no expresados ni comprendidos en otra parte","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included.","Productos lácteos","Diary products"
28,"0401","Milk and cream, not concentrated nor containing added sugar or other sweetening matter","4digit",27.0,"Leche y nata (crema), sin concentrar, sin adición de azúcar ni otro edulcorante.","Milk and cream, not concentrated nor containing added sugar or other sweetening matter","Leche","Milk"
29,"0402","Milk and cream, concentrated or containing added sugar or other sweetening matter","4digit",27.0,"Leche y nata (crema), concentradas o con adición de azúcar u otro edulcorante.","Milk and cream, concentrated or containing added sugar or other sweetening matter","Leche, concentrada","Milk, concentrated"
30,"0403","Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavored or containing added fruit, nuts or cocoa","4digit",27.0,"Suero de mantequilla, leche y nata (crema) cuajadas, yogur, kefir y demás leches y natas (cremas), fermentadas o acidificadas, incluso concentrados, con adición de azúcar u otro edulcorante, aromatizados o con frutas u otros frutos o cacao.","Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and cream, whether or not concentrated or containing added sugar or other sweetening matter or flavored or containing added fruit, nuts or cocoa","Productos de leche, fermentada","Fermented milk products"
31,"0404","Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included","4digit",27.0,"Lactosuero, incluso concentrado o con adición de azúcar u otro edulcorante; productos constituidos por los componentes naturales de la leche, incluso con adición de azúcar u otro edulcorante, no expresados ni comprendidos en otra parte.","Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included","Lactosuero","Whey"
32,"0405","Butter and other fats and oils derived from milk; dairy spreads","4digit",27.0,"Mantequilla y demás materias grasas de la leche; pastas lácteas para untar.","Butter and other fats and oils derived from milk; dairy spreads","Mantequilla","Butter"
33,"0406","Cheese and curd","4digit",27.0,"Quesos y requesón","Cheese and curd","Quesos y requesón","Cheese"
34,"0407","Birds eggs, in shell, fresh, preserved or cooked","4digit",27.0,"Huevos de ave con cáscara (cascarón), frescos, conservados o cocidos.","Birds eggs, in shell, fresh, preserved or cooked","Huevos de ave","Eggs, in shell"
35,"0408","Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, molded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter","4digit",27.0,"Huevos de ave sin cáscara (cascarón) y yemas de huevo, frescos, secos, cocidos en agua o vapor, moldeados, congelados o conservados de otro modo, incluso con adición de azúcar u otro edulcorante.","Birds' eggs, not in shell, and egg yolks, fresh, dried, cooked by steaming or by boiling in water, molded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter","Yemas de huevo","Egg yolks"
36,"0409","Amber or darker","4digit",27.0,"Miel natural.","Amber or darker","Miel natural","Honey"
37,"05","Products of animal origin, not elsewhere specified or included.","2digit",0.0,"Productos de origen animal, no expresados ni comprendidos en otra parte","Products of animal origin, not elsewhere specified or included.","Productos de origen animal","Animal products"
38,"0501","Human hair, unworked, whether or not washed or scoured; waste of human hair","4digit",37.0,"Cabello en bruto, incluso lavado o desgrasado; desperdicios de cabello.","Human hair, unworked, whether or not washed or scoured; waste of human hair","Cabello en bruto","Human hair, unworked"
39,"0502","Pigs', hogs' or boars' bristles and hair; badger hair and other brushmaking hair; waste of such bristles or hair","4digit",37.0,"Cerdas de cerdo o de jabalí; pelo de tejón y demás pelos para cepillería; desperdicios de dichas cerdas o pelos.","Pigs', hogs' or boars' bristles and hair; badger hair and other brushmaking hair; waste of such bristles or hair","Pelos para cepillería","Brushmaking hair"
40,"0504","Guts, bladders and stomachs of animals except fish","4digit",37.0,"Tripas, vejigas y estómagos de animales, excepto los de pescado, enteros o en trozos, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados.","Guts, bladders and stomachs of animals except fish","Tripas de animales, excepto los de pescado","Animal guts, except fish"
41,"0505","Skins and other parts of birds, with their feathers or down, feathers and parts of feathers(whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of fea","4digit",37.0,"Pieles y demás partes de ave, con sus plumas o plumón, plumas y partes de plumas (incluso recortadas) y plumón, en bruto o simplemente limpiados, desinfectados o preparados para su conservación; polvo y desperdicios de plumas o de partes de plumas.","Skins and other parts of birds, with their feathers or down, feathers and parts of feathers(whether or not with trimmed edges) and down, not further worked than cleaned, disinfected or treated for preservation; powder and waste of feathers or parts of fea","Plumas y plumón","Feathers and down"
42,"0506","Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinized; powder and waste of these products","4digit",37.0,"Huesos y núcleos córneos, en bruto, desgrasados, simplemente preparados (pero sin cortar en forma determinada), acidulados o desgelatinizados; polvo y desperdicios de estas materias.","Bones and horn-cores, unworked, defatted, simply prepared (but not cut to shape), treated with acid or degelatinized; powder and waste of these products","Huesos preparados","Bones and horn-cores, simply prepared"
43,"0507","Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products","4digit",37.0,"Marfil, concha (caparazón) de tortuga, ballenas de mamíferos marinos (incluidas las barbas), cuernos, astas, cascos, pezuñas, uñas, garras y picos, en bruto o simplemente preparados, pero sin cortar en forma determinada; polvo y desperdicios de estas materias.","Ivory, tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape; powder and waste of these products","Marfil, cuernos, etc.","Ivory, tortoise-shell, whalebone, etc."
44,"0508","Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape, powder and waste thereof","4digit",37.0,"Coral y materias similares, en bruto o simplemente preparados, pero sin otro trabajo; valvas y caparazones de moluscos, crustáceos o equinodermos, y jibiones, en bruto o simplemente preparados, pero sin cortar en forma determinada, incluso en polvo y desperdicios.","Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape, powder and waste thereof","Coral y materias similares","Coral and shells"
45,"0511","Animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption","4digit",37.0,"Productos de origen animal no expresados ni comprendidos en otra parte; animales muertos de los Capítulos 1 ó 3, impropios para la alimentación humana.","Animal products not elsewhere specified or included; dead animals of chapter 1 or 3, unfit for human consumption","Productos de origen animal no expresados en otra parte","Animal products not elsewhere specified"
46,"06","Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage.","2digit",0.0,"Plantas vivas y otras plantas; bulbos, raíces y similares; flores cortadas y follaje ornamental","Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage.","Plantas","Plants"
47,"0601","Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 1212","4digit",46.0,"Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones y rizomas, en reposo vegetativo, en vegetación o en flor; plantas y raíces de achicoria, excepto las raíces de la partida 12.12.","Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 1212","Bulbos, cebollas, etc.","Flower bulbs"
48,"0602","Other live plants (including their roots), cuttings and slips; mushroom spawn","4digit",46.0,"Las demás plantas vivas (incluidas sus raíces), esquejes e injertos; micelios.","Other live plants (including their roots), cuttings and slips; mushroom spawn","Plantas vivas con raíces","Other live plants"
49,"0603","Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared","4digit",46.0,"Flores y capullos, cortados para ramos o adornos, frescos, secos, blanqueados, teñidos, impregnados o preparados de otra forma.","Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared","Flores cortados, frescos","Cut flowers"
50,"0604","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared","4digit",46.0,"Follaje, hojas, ramas y demás partes de plantas, sin flores ni capullos, y hierbas, musgos y líquenes, para ramos o adornos, frescos, secos, blanqueados, teñidos, impregnados o preparados de otra forma.","Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared","Otras partes de plantas","Other parts of plants"
51,"07","Edible vegetables and certain roots and tubers.","2digit",0.0,"Hortilizas, raíces y tubérculos","Edible vegetables and certain roots and tubers.","Hortilizas","Vegetables"
52,"0701","Potatoes, fresh or chilled","4digit",51.0,"Papas (patatas) frescas o refrigeradas.","Potatoes, fresh or chilled","Papas frescas o refrigeradas","Potatoes"
53,"0702","Tomatoes, fresh or chilled","4digit",51.0,"Tomates frescos o refrigerados","Tomatoes, fresh or chilled","Tomates frescos o refrigerados","Tomatoes"
54,"0703","Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled","4digit",51.0,"Cebollas, chalotes, ajos, puerros y demás hortalizas aliáceas, frescos o refrigerados.","Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled","Cebollas, chalotes, ajo etc. ","Onions, shallots, garlic, etc."
55,"0704","Cabbages, cauliflower, kohlrabi, kale and similar edible brassicas, fresh or chilled","4digit",51.0,"Coles, incluidos los repollos, coliflores, coles rizadas, colinabos y productos comestibles similares del género Brassica, frescos o refrigerados.","Cabbages, cauliflower, kohlrabi, kale and similar edible brassicas, fresh or chilled","Coles, coliflores etc.","Cabbages, cauliflower, kale, etc."
56,"0705","Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled","4digit",51.0,"Lechugas (Lactuca sativa) y achicorias, comprendidas la escarola y la endibia (Cichorium spp.), frescas o refrigeradas.","Lettuce (Lactuca sativa) and chicory (Cichorium spp.), fresh or chilled","Lechuga","Lettuce"
57,"0706","Carrots, turnips, salad beets (salad beetroot), salsify, celeriac, radishes and similar edible roots, fresh or chilled","4digit",51.0,"Zanahorias, nabos, remolachas para ensalada, salsifíes, apionabos, rábanos y raíces comestibles similares, frescos o refrigerados.","Carrots, turnips, salad beets (salad beetroot), salsify, celeriac, radishes and similar edible roots, fresh or chilled","Zanahorias, nabos y remolachas","Carrots, turnips, beets, etc."
58,"0707","Cucumbers, including gherkins, fresh or chilled","4digit",51.0,"Pepinos y pepinillos, frescos o refrigerados","Cucumbers, including gherkins, fresh or chilled","Pepinos","Cucumbers"
59,"0708","Leguminous vegetables, shelled or unshelled, fresh or chilled","4digit",51.0,"Hortalizas de vaina, aunque estén desvainadas, frescas o refrigeradas.","Leguminous vegetables, shelled or unshelled, fresh or chilled","Legumbres","Legumes"
60,"0709","Other vegetables, fresh or chilled","4digit",51.0,"Las demás hortalizas, frescas o refrigeradas.","Other vegetables, fresh or chilled","Las demás hortalizas","Other vegetables"
61,"0711","Vegetables provisionally preserved (for example, by sulfur dioxide gas, in brine, in sulfur water or in other preservative solutions), but unsuitable in that state for immediate consumption","4digit",51.0,"Hortalizas conservadas provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha conservación), pero todavía impropias para consumo inmediato.","Vegetables provisionally preserved (for example, by sulfur dioxide gas, in brine, in sulfur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Hortalizas conservadas provisionalmente","Vegetables, provisionally preserved"
62,"0712","Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared","4digit",51.0,"Hortalizas secas, incluidas las cortadas en trozos o en rodajas o las trituradas o pulverizadas, pero sin otra preparación.","Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared","Hortalizas secas","Vegetables, dried"
63,"0713","Dried leguminous vegetables, shelled, whether or not skinned or split","4digit",51.0,"Hortalizas de vaina secas desvainadas, aunque estén mondadas o partidas.","Dried leguminous vegetables, shelled, whether or not skinned or split","Hortalizas de vaina secas","Legumes, dried"
64,"0714","Cassava (manioc), arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","4digit",51.0,"Raíces de yuca (mandioca), arrurruz o salep, aguaturmas (patacas), camotes (boniatos, batatas) y raíces y tubérculos similares ricos en fécula o inulina, frescos, refrigerados, congelados o secos, incluso troceados o en “pellets”; médula de sagú.","Cassava (manioc), arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","Yuca y raíces similares","Tubers"
65,"08","Edible fruit and nuts; peel of citrus fruit or melons.","2digit",0.0,"Frutas y frutos secos comestibles; cortezas de agrios o de melones","Edible fruit and nuts; peel of citrus fruit or melons.","Frutas y frutos secos","Fruits and nuts"
66,"0801","Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled","4digit",65.0,"Cocos, nueces del Brasil y nueces de marañón (merey, cajuil, anacardo, “cajú”), frescos o secos, incluso sin cáscara o mondados.","Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled","Cocos, nueces del Brasil y nueces de marañón","Coconuts, Brazil nuts and cashews"
67,"0802","Other nuts, fresh or dried, whether or not shelled or peeled","4digit",65.0,"Los demás frutos de cáscara frescos o secos, incluso sin cáscara o mondados.","Other nuts, fresh or dried, whether or not shelled or peeled","Los demás frutos de cáscara ","Other nuts"
68,"0803","Bananas and plantains, fresh or dried","4digit",65.0,"Bananas, incluidos los plátanos para cocinar (plantains), frescos o secos.","Bananas and plantains, fresh or dried","Bananas y plátanos","Bananas and plantains"
69,"0804","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried","4digit",65.0,"Dátiles, higos, piñas (ananás), aguacates (paltas), guayabas, mangos y mangostanes, frescos o secos.","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried","Dátiles, piñas, aguacates, etc.","Dates, figs, pineapples, avocados, guavas, mangos"
70,"0805","Citrus fruit, fresh or dried","4digit",65.0,"Agrios (cítricos) frescos o secos.","Citrus fruit, fresh or dried","Agrios","Citrus fruit"
71,"0806","Grapes, fresh or dried","4digit",65.0,"Uvas, frescas o secas, incluidas las pasas.","Grapes, fresh or dried","Uvas","Grapes"
72,"0807","Melons (including watermelons) and papayas (papaws), fresh","4digit",65.0,"Melones, sandías y papayas, frescos.","Melons (including watermelons) and papayas (papaws), fresh","Melones y papayas","Melons and papayas"
73,"0808","Apples, pears and quinces, fresh","4digit",65.0,"Manzanas, peras y membrillos, frescos.","Apples, pears and quinces, fresh","Manzanas, peras y membrillos","Apples, pears and quinces"
74,"0809","Apricots, cherries, peaches (including nectarines), plums (including prune plums) and sloes, fresh","4digit",65.0,"Chabacanos (damascos, albaricoques), cerezas, duraznos (melocotones) (incluidos los griñones y nectarinas), ciruelas y endrinas, frescos.","Apricots, cherries, peaches (including nectarines), plums (including prune plums) and sloes, fresh","Chabacanos","Apricots, cherries, peaches, plums"
75,"0811","Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter","4digit",65.0,"Frutas y otros frutos, sin cocer o cocidos en agua o vapor, congelados, incluso con adición de azúcar u otro edulcorante.","Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter","Frutas y frutos secos, congelados","Fruits and nuts, frozen"
76,"0812","Fruit and nuts, provisionally preserved (for example, by sulfur dioxide gas, in brine, in sulfur water or in other preservative solutions), but unsuitable in that state for immediate consumption","4digit",65.0,"Frutas y otros frutos, conservados provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para dicha conservación), pero todavía impropios para consumo inmediato.","Fruit and nuts, provisionally preserved (for example, by sulfur dioxide gas, in brine, in sulfur water or in other preservative solutions), but unsuitable in that state for immediate consumption","Frutas y frutos secos, conservados provisionalmente","Fruits and nuts, provisionally preserved"
77,"0813","Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter","4digit",65.0,"Frutas y otros frutos, secos, excepto los de las partidas 08.01 a 08.06; mezclas de frutas u otros frutos, secos, o de frutos de cáscara de este Capítulo.","Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of this chapter","Otras frutas secas","Fruits, dried"
78,"0814","Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulfur water or in other preservative solutions","4digit",65.0,"Cortezas de agrios (cítricos), melones o sandías, frescas, congeladas, secas o presentadas en agua salada, sulfurosa o adicionada de otras sustancias para su conservación provisional.","Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulfur water or in other preservative solutions","Cortezas de agrios, melones o sandías","Peel of citrus fruit or melons"
79,"09","Coffee, tea, mate and spices.","2digit",0.0,"Café, té, yerba mate y especias","Coffee, tea, mate and spices.","Café, té y especias","Coffee, tea and spices"
80,"0901","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion","4digit",79.0,"Café, incluso tostado o descafeinado; cáscara y cascarilla de café; sucedáneos del café que contengan café en cualquier proporción.","Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion","Café, no tostado","Coffee"
81,"0902","Tea, whether or not flavored","4digit",79.0,"Té, incluso aromatizado.","Tea, whether or not flavored","Té, incluso aromatizado","Tea"
82,"0903","Mate","4digit",79.0,"Yerba mate.","Mate","Yerba mate","Mate"
83,"0904","Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum (peppers) or of the genus Pimenta (e.g., allspice)","4digit",79.0,"Pimienta del género Piper; frutos de los géneros Capsicum o Pimenta, secos, triturados o pulverizados.","Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum (peppers) or of the genus Pimenta (e.g., allspice)","Pimienta","Pepper"
84,"0905","Vanilla beans","4digit",79.0,"Vainilla.","Vanilla beans","Vainilla","Vanilla"
85,"0906","Cinnamon and cinnamon-tree flowers","4digit",79.0,"Canela y flores de canelero.","Cinnamon and cinnamon-tree flowers","Canela","Cinnamon"
86,"0907","Cloves (whole fruit, cloves and stems)","4digit",79.0,"Clavo (frutos, clavillos y pedúnculos).","Cloves (whole fruit, cloves and stems)","Clavos","Cloves"
87,"0908","Nutmeg, mace and cardamoms","4digit",79.0,"Nuez moscada, macis, amomos y cardamomos.","Nutmeg, mace and cardamoms","Nuez moscada","Nutmeg"
88,"0909","Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries","4digit",79.0,"Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro.","Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries","Semillas de anís, badiana etc.","Anise, fennel, etc."
89,"10","Cereals.","2digit",0.0,"Cereales","Cereals.","Cereales","Cereals"
90,"1001","Wheat and meslin","4digit",89.0,"Trigo y morcajo (tranquillón).","Wheat and meslin","Trigo y morcajo","Wheat and meslin"
91,"1002","Rye","4digit",89.0,"Centeno.","Rye","Centeno","Rye"
92,"1003","Barley","4digit",89.0,"Cebada.","Barley","Cebada","Barley"
93,"1004","Oats","4digit",89.0,"Avena.","Oats","Avena","Oats"
94,"1005","Corn (maize)","4digit",89.0,"Maíz.","Corn (maize)","Maíz","Corn"
95,"1006","Rice","4digit",89.0,"Arroz.","Rice","Arroz","Rice"
96,"1007","Grain sorghum","4digit",89.0,"Sorgo de grano (granífero).","Grain sorghum","Sorgo de grano","Grain sorghum"
97,"1008","Buckwheat, millet and canary seed; other cereals (including wild rice)","4digit",89.0,"Alforfón, mijo y alpiste; los demás cereales.","Buckwheat, millet and canary seed; other cereals (including wild rice)","Alforfón y los demás cereales","Buckwheat and other cereals"
98,"11","Products of the milling industry; malt; starches; inulin; wheat gluten.","2digit",0.0,"Productos de la molinería; malta; almidones; inulina; gluten de trigo","Products of the milling industry; malt; starches; inulin; wheat gluten.","Harinas, almidones y maltas","Flours, starches and malts"
99,"1101","Wheat or meslin flour","4digit",98.0,"Harina de trigo o de morcajo (tranquillón).","Wheat or meslin flour","Harina de trigo o de morcajo","Wheat or meslin flour"
