"","code","level","parent_id","name_sp_full","name_es","name_short_es","name_en","name_short_en","name"
51,"1552","class",452.0,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares","Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares","Macarrones, fideos, etc.","Manufacture of macaroni, noodles, couscous and similar farinaceous products","Macaroni, noodles, couscous etc.","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
52,"1561","class",452.0,"Trilla de café","Trilla de café","Trilla de café","Coffee threshings","Coffee threshings","Coffee threshings"
53,"1562","class",452.0,"Descafeinado","Descafeinado","Descafeinado","Manufacture of decaffeinated coffee","Decaffeinated coffee","Manufacture of decaffeinated coffee"
54,"1563","class",452.0,"Tostión y molienda del café","Tostión y molienda del café","Tostión y molienda del café","Toasting and grinding of coffee","Coffee roasting and grinding","Toasting and grinding of coffee"
55,"1564","class",452.0,"Elaboración de otros derivados del café","Elaboración de otros derivados del café","Otros derivados del café","Manufacture of coffee derivatives","Other coffee derivatives","Manufacture of coffee derivatives"
56,"1571","class",452.0,"Fabricación y refinación de azúcar","Fabricación y refinación de azúcar","Azúcar","Manufacture of sugar","Sugar","Manufacture of sugar"
57,"1572","class",452.0,"Fabricación de panela","Fabricación de panela","Panela","Manufacture of brown sugar","Brown sugar","Manufacture of brown sugar"
58,"1581","class",452.0,"Elaboración de cacao, chocolate y productos de confitería","Elaboración de cacao, chocolate y productos de confitería","Cacao, chocolate y productos de confitería","Manufacture of cocoa, chocolate and sugar confectionery","Cocoa, chocolate and sugar confectionery","Manufacture of cocoa, chocolate and sugar confectionery"
59,"1589","class",452.0,"Elaboración de otros productos alimenticios ncp","Elaboración de otros productos alimenticios ncp","Otros productos alimenticios ncp","Manufacture of other food products n.e.c.","Other food products n.e.c.","Manufacture of other food products n.e.c."
60,"1591","class",452.0,"Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico a partir de sustancias fermentadas","Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico a partir de sustancias fermentadas","Destilación de bebidas alcohólicas y producción de alcohol etílico","Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials","Distillation of spirits and production of ethyl alcohol","Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials"
61,"1592","class",452.0,"Elaboración de bebidas fermentadas no destiladas","Elaboración de bebidas fermentadas no destiladas","Bebidas fermentadas no destiladas","Manufacture of wines","Wines","Manufacture of wines"
62,"1593","class",452.0,"Producción de malta, elaboración de cervezas y otras bebidas malteadas","Producción de malta, elaboración de cervezas y otras bebidas malteadas","Malta, cervezas y otras bebidas malteadas","Manufacture of malt liquors and malt","Malt liquors and malt","Manufacture of malt liquors and malt"
63,"1594","class",452.0,"Elaboración de bebidas no alcohólicas; producción de aguas minerales","Elaboración de bebidas no alcohólicas; producción de aguas minerales","Bebidas no alcohólicas y aguas minerales","Manufacture of soft drinks; production of mineral waters","Soft drinks and mineral waters","Manufacture of soft drinks; production of mineral waters"
64,"1600","class",453.0,"Fabricación de productos de tabaco","Fabricación de productos de tabaco","Productos de tabaco","Manufacture of tobacco products","Tobacco products","Manufacture of tobacco products"
65,"1710","class",454.0,"Preparación e hilatura de fibras textiles","Preparación e hilatura de fibras textiles","Fibras textiles","Preparation and spinning of textile fibers","Textile fibers","Preparation and spinning of textile fibers"
66,"1720","class",454.0,"Tejedura de productos textiles","Tejedura de productos textiles","Productos textiles","Weaving of textiles","Textiles","Weaving of textiles"
67,"1730","class",454.0,"Acabado de productos textiles no producidos en la misma unidad de producción","Acabado de productos textiles no producidos en la misma unidad de producción","Productos textiles no producidos en la misma unidad de producción","Finishing of textiles","Finishing of textiles","Finishing of textiles"
68,"1741","class",454.0,"Confección de artículos con materiales textiles no producidos en la misma unidad, excepto prendas de vestir","Confección de artículos con materiales textiles no producidos en la misma unidad, excepto prendas de vestir","Artículos con materiales textiles no producidos en la misma unidad, excepto prendas de vestir","Manufacture of made-up textile articles, except apparel","Manufacture of made-up textile articles","Manufacture of made-up textile articles, except apparel"
69,"1742","class",454.0,"Fabricación de tapices y alfombras para pisos","Fabricación de tapices y alfombras para pisos","Tapices y alfombras para pisos","Manufacture of carpets and rugs","Carpets and rugs","Manufacture of carpets and rugs"
70,"1743","class",454.0,"Fabricación de cuerdas, cordeles, cables, bramantes y redes","Fabricación de cuerdas, cordeles, cables, bramantes y redes","Cuerdas, cordeles, cables, bramantes y redes","Manufacture of cordage, rope, twine and netting","Cordage, rope, twine and netting","Manufacture of cordage, rope, twine and netting"
71,"1749","class",454.0,"Fabricación de otros artículos textiles ncp","Fabricación de otros artículos textiles ncp","Otros artículos textiles ncp","Manufacture of other textiles n.e.c.","Other textiles n.e.c.","Manufacture of other textiles n.e.c."
72,"1750","class",454.0,"Fabricación de tejidos y artículos de punto y ganchillo","Fabricación de tejidos y artículos de punto y ganchillo","Tejidos y artículos de punto y ganchillo","Manufacture of knitted and crocheted fabrics and articles","Knitted and crocheted fabrics and articles","Manufacture of knitted and crocheted fabrics and articles"
73,"1810","class",455.0,"Fabricación de prendas de vestir, excepto prendas de piel","Fabricación de prendas de vestir, excepto prendas de piel","Prendas de vestir, excepto prendas de piel","Manufacture of wearing apparel, except fur apparel","Apparel, except fur","Manufacture of wearing apparel, except fur apparel"
74,"1820","class",455.0,"Preparado y teñido de pieles; fabricación de artículos de piel Preparado y teñido de pieles; fabricación de artículos de piel","Preparado y teñido de pieles; fabricación de artículos de piel Preparado y teñido de pieles; fabricación de artículos de piel","Artículos de piel","Dressing and dyeing of fur; manufacture of articles of fur","Articles of fur","Dressing and dyeing of fur; manufacture of articles of fur"
75,"1910","class",456.0,"Curtido y preparado de cueros","Curtido y preparado de cueros","Curtido y preparado de cueros","Tanning and dressing of leather","Tanning and dressing of leather","Tanning and dressing of leather"
76,"1921","class",456.0,"Fabricación de calzado de cuero y piel; con cualquier ' tipo de suela, excepto el calzado deportivo","Fabricación de calzado de cuero y piel; con cualquier ' tipo de suela, excepto el calzado deportivo","Calzado de cuero y piel","Manufacture of leather footwear with any type of sole, except sports footwear","Leather footwear","Manufacture of leather footwear with any type of sole, except sports footwear"
77,"1922","class",456.0,"Fabricación de calzado de materiales textiles; con cualquier tipo de suela, excepto el calzado deportivo","Fabricación de calzado de materiales textiles; con cualquier tipo de suela, excepto el calzado deportivo","Calzado de materiales textiles","Manufacture of textile footwear with any type of sole, except sports footwear","Textile footwear","Manufacture of textile footwear with any type of sole, except sports footwear"
78,"1923","class",456.0,"Fabricación de calzado de caucho, excepto el calzado deportivo","Fabricación de calzado de caucho, excepto el calzado deportivo","Calzado de caucho","Manufacture of rubber footwear with any type of sole, except sports footwear","Rubber footwear","Manufacture of rubber footwear with any type of sole, except sports footwear"
79,"1924","class",456.0,"Fabricación de calzado de plástico, excepto el calzado deportivo","Fabricación de calzado de plástico, excepto el calzado deportivo","Calzado de plástico","Manufacture of plastic footwear with any type of sole, except sports footwear","Plastic footwear","Manufacture of plastic footwear with any type of sole, except sports footwear"
80,"1925","class",456.0,"Fabricación de calzado deportivo, incluso el moldeado","Fabricación de calzado deportivo, incluso el moldeado","Calzado deportivo","Manufacture of sports footwear, including molded","Sports footwear","Manufacture of sports footwear, including molded"
81,"1926","class",456.0,"Fabricación de partes del calzado","Fabricación de partes del calzado","Partes del calzado","Manufacture of footwear parts","Footwear parts","Manufacture of footwear parts"
82,"1929","class",456.0,"Fabricación de calzado ncp","Fabricación de calzado ncp","Calzado ncp","Manufacture of footwear n.e.c.","Footwear n.e.c.","Manufacture of footwear n.e.c."
83,"1931","class",456.0,"Fabricación de artículos de viaje, bolsos de mano y artículos ' similares elaborados en cuero; fabricación de artículos de talabartería y guarnicionería","Fabricación de artículos de viaje, bolsos de mano y artículos ' similares elaborados en cuero; fabricación de artículos de talabartería y guarnicionería","Artículos de viaje y artículos similares elaborados en cuero","Manufacture of luggage, handbags and the like, saddlery and harness of leather","Luggage, handbags, saddlery and harness of leather","Manufacture of luggage, handbags and the like, saddlery and harness of leather"
84,"1932","class",456.0,"Fabricación de artículos de viaje, bolsos de mano y artículos similares, elaborados en materiales sintéticos, plásticos e imitaciones de cuero","Fabricación de artículos de viaje, bolsos de mano y artículos similares, elaborados en materiales sintéticos, plásticos e imitaciones de cuero","Artículos de viaje artículos similares, elaborados en materiales sintéticos","Manufacture of luggage, handbags and the like, saddlery and harness of synthetic materials","Luggage, handbags, saddlery and harness of synthetic materials","Manufacture of luggage, handbags and the like, saddlery and harness of synthetic materials"
85,"1939","class",456.0,"Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados con materiales ncp","Fabricación de artículos de viaje, bolsos de mano y artículos similares elaborados con materiales ncp","Artículos de viaje y artículos similares elaborados con materiales ncp","Manufacture of luggage, handbags and the like, saddlery and harness of materials n.e.c.","Luggage, handbags, saddlery and harness of materials n.e.c.","Manufacture of luggage, handbags and the like, saddlery and harness of materials n.e.c."
86,"2010","class",457.0,"Aserrado, acepillado e impregnación de la madera","Aserrado, acepillado e impregnación de la madera","Aserrado, acepillado e impregnación de la madera","Sawmilling and planing of wood","Sawmilling and planing of wood","Sawmilling and planing of wood"
87,"2020","class",457.0,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles","Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas y otros tableros y paneles","Hojas de madera para enchapado y otros tableros y paneles","Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and boards","Veneer sheets, plywood and other panels and boards","Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and boards"
88,"2030","class",457.0,"Fabricación de partes y piezas de carpintería para edificios y construcciones","Fabricación de partes y piezas de carpintería para edificios y construcciones","Partes y piezas de carpintería para construcciones","Manufacture of builders' carpentry and joinery","Builders' carpentry and joinery","Manufacture of builders' carpentry and joinery"
89,"2040","class",457.0,"Fabricación de recipientes de madera","Fabricación de recipientes de madera","Recipientes de madera","Manufacture of wooden containers","Wooden containers","Manufacture of wooden containers"
90,"2090","class",457.0,"Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería","Fabricación de otros productos de madera; fabricación de artículos de corcho, cestería y espartería","Otros productos de madera","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","Other products of wood","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
91,"2101","class",458.0,"Fabricación de pastas celulósicas; papel y cartón","Fabricación de pastas celulósicas; papel y cartón","Pastas celulósicas, papel y cartón","Manufacture of pulp, paper and paperboard","Pulp, paper and paperboard","Manufacture of pulp, paper and paperboard"
92,"2102","class",458.0,"Fabricación de papel y cartón ondulado, fabricación de envases, empaques y de embalajes de papel y cartón","Fabricación de papel y cartón ondulado, fabricación de envases, empaques y de embalajes de papel y cartón","Papel y cartón ondulado y envases de papel y cartón","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard","Corrugated paper and paperboard and containers of paper and paperboard","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
93,"2109","class",458.0,"Fabricación de otros artículos de papel y cartón","Fabricación de otros artículos de papel y cartón","Otros artículos de papel y cartón","Manufacture of other articles of paper and paperboard","Other articles of paper and paperboard","Manufacture of other articles of paper and paperboard"
94,"2211","class",459.0,"Edición de libros, folletos, partituras y otras publicaciones","Edición de libros, folletos, partituras y otras publicaciones","Libros, folletos, partituras y otras publicaciones","Publishing of books, brochures, musical books and other publications","Books, brochures, musical books and other publications","Publishing of books, brochures, musical books and other publications"
95,"2212","class",459.0,"Edición de periódicos, revistas y publicaciones periódicas","Edición de periódicos, revistas y publicaciones periódicas","Periódicos, revistas y publicaciones periódicas","Publishing of newspapers, journals and periodicals","Newspapers, journals and periodicals","Publishing of newspapers, journals and periodicals"
96,"2213","class",459.0,"Edición de materiales grabados","Edición de materiales grabados","Materiales grabados","Publishing of recorded media","Recorded media","Publishing of recorded media"
97,"2219","class",459.0,"Otros trabajos de edición","Otros trabajos de edición","Otros trabajos de edición","Other publishing","Other publishing","Other publishing"
98,"2220","class",459.0,"Actividades de impresión","Actividades de impresión","Actividades de impresión","Printing","Printing","Printing"
99,"2231","class",459.0,"Arte, diseño y composición","Arte, diseño y composición","Arte, diseño y composición","Art, design and composition","Art, design and composition","Art, design and composition"
100,"2232","class",459.0,"Fotomecánica y análogos","Fotomecánica y análogos","Fotomecánica y análogos","Photoengraving","Photoengraving","Photoengraving"
101,"2233","class",459.0,"Encuadernación","Encuadernación","Encuadernación","Bookbinding","Bookbinding","Bookbinding"
102,"2234","class",459.0,"Acabado o recubrimiento","Acabado o recubrimiento","Acabado o recubrimiento","Finishing or coating","Finishing or coating","Finishing or coating"
103,"2239","class",459.0,"Otros servicios conexos ncp","Otros servicios conexos ncp","Otros servicios conexos ncp","Other service activities n.e.c.","Other service activities n.e.c.","Other service activities n.e.c."
104,"2240","class",459.0,"Reproducción de materiales grabados","Reproducción de materiales grabados","Reproducción de grabaciones","Playback of recorded media","Playback of recorded media","Playback of recorded media"
105,"2310","class",460.0,"Fabricación de productos de hornos de coque","Fabricación de productos de hornos de coque","Productos de hornos de coque","Manufacture of coke oven products","Coke oven products","Manufacture of coke oven products"
106,"2321","class",460.0,"Fabricación de productos de la refinación del petróleo, elaborados en refinería","Fabricación de productos de la refinación del petróleo, elaborados en refinería","Productos de la refinación del petróleo, elaborados en refinería","Manufacture of refined petroleum products","Refined petroleum products","Manufacture of refined petroleum products"
107,"2322","class",460.0,"Elaboración de productos derivados del petróleo, fuera de refinería .","Elaboración de productos derivados del petróleo, fuera de refinería","Productos derivados del petróleo, fuera de refinería","Manufacture of refined petroleum products","Refined petroleum products","Manufacture of refined petroleum products"
108,"2330","class",460.0,"Elaboración de combustible nuclear","Elaboración de combustible nuclear","Combustible nuclear","Processing of nuclear fuel","Nuclear fuel","Processing of nuclear fuel"
109,"2411","class",461.0,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos inorgánicos nitrogenados","Fabricación de sustancias químicas básicas, excepto abonos y compuestos inorgánicos nitrogenados","Químicos básicos, exc. abonos","Manufacture of basic chemicals, except fertilizers and nitrogen compounds","Basic chemicals, exc. fertilizers","Manufacture of basic chemicals, except fertilizers and nitrogen compounds"
110,"2412","class",461.0,"Fabricación de abonos y compuestos inorgánicos nitrogenados","Fabricación de abonos y compuestos inorgánicos nitrogenados","Abonos","Manufacture of fertilizers and nitrogen compounds","Fertilizers","Manufacture of fertilizers and nitrogen compounds"
111,"2413","class",461.0,"Fabricación de plásticos en formas primarias","Fabricación de plásticos en formas primarias","Plásticos en formas primarias","Manufacture of plastics in primary forms","Plastics in primary forms","Manufacture of plastics in primary forms"
112,"2414","class",461.0,"Fabricación de caucho sintético en formas primarias","Fabricación de caucho sintético en formas primarias","Caucho sintético en formas primarias","Manufacture of synthetic rubber","Synthetic rubber in primary forms","Manufacture of synthetic rubber"
113,"2421","class",461.0,"Fabricación de plaguicidas y otros productos químicos de uso agropecuario","Fabricación de plaguicidas y otros productos químicos de uso agropecuario","Plaguicidas y otros de uso agropecuario","Manufacture of pesticides and other agro-chemical products","Pesticides and other agro-chemical products","Manufacture of pesticides and other agro-chemical products"
114,"2422","class",461.0,"Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas","Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas","Pinturas, barnices y revestimientos similares","Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Paints, varnishes and similar coatings","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
115,"2423","class",461.0,"Fabricación de productos, farmacéuticos, sustancias químicas medicinales y productos botánicos","Fabricación de productos, farmacéuticos, sustancias químicas medicinales y productos botánicos","Productos farmacéuticos","Manufacture of pharmaceuticals, medicinal chemicals and botanical products","Pharmaceuticals","Manufacture of pharmaceuticals, medicinal chemicals and botanical products"
116,"2424","class",461.0,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador","Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador","Jabones y detergentes, preparados para limpiar","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Soaps and detergents, cleaning preparations","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
117,"2429","class",461.0,"Fabricación de otros productos químicos ncp","Fabricación de otros productos químicos ncp","Otros productos químicos ncp","Manufacture of other chemical products n.e.c.","Other chemical products n.e.c.","Manufacture of other chemical products n.e.c."
118,"2430","class",461.0,"Fabricación de fibras sintéticas y artificiales","Fabricación de fibras sintéticas y artificiales","Fibras sintéticas y artificiales","Manufacture of man-made fibres","Man-made fibres","Manufacture of man-made fibres"
119,"2511","class",462.0,"Fabricación de llantas y neumáticos de caucho |","Fabricación de llantas y neumáticos de caucho |","Llantas y neumáticos de caucho","Manufacture of rubber tires and tubes; retreading and rebuilding of rubber tires","Rubber tires and tubes","Manufacture of rubber tires and tubes; retreading and rebuilding of rubber tires"
120,"2512","class",462.0,"Reencauche de llantas usadas","Reencauche de llantas usadas","Llantas usadas","Retreading and rebuilding of rubber tires","Retreading of rubber tires","Retreading and rebuilding of rubber tires"
