"","name_es","name_en","name_short_es","name_short_en","code","level","parent_id","name"
49,"Coordinadores y jefes de área en administración, recursos humanos y mercadotecnia","Coordinators and area managers of administration, human resources and marketing","Coordinadores y jefes de área en administración, recursos humanos y mercadotecnia","Coordinators of administration, HR and marketing","1511","4digit",55.0,"Coordinators and area managers of administration, human resources and marketing"
50,"Coordinadores y jefes de área en servicios contables, financieros, banca y seguros","Coordinators and area managers of accounting, financial, banking and insurance services","Coordinadores y jefes de área en servicios contables, financieros, banca y seguros","Coordinators of banking and insurance services","1512","4digit",55.0,"Coordinators and area managers of accounting, financial, banking and insurance services"
51,"Coordinadores y jefes de área en servicios de salud, enseñanza, sociales y jueces calificadores","Coordinators and area managers of health care, education, social services and qualifying judges","Coordinadores y jefes de área en servicios de salud, enseñanza, sociales y jueces calificadores","Coordinators of health care, education, and social services","152","3digit",54.0,"Coordinators and area managers of health care, education, social services and qualifying judges"
52,"Coordinadores y jefes de área en servicios de salud, protección civil y medio ambiente","Coordinators and area managers of health services, civil defense and environment","Coordinadores y jefes de área en servicios de salud, protección civil y medio ambiente","Coordinators of health, civil and environment protection","1521","4digit",62.0,"Coordinators and area managers of health services, civil defense and environment"
53,"Coordinadores y jefes de área en desarrollo social y económico","Coordinators and area managers of social and economic development","Coordinadores y jefes de área en desarrollo social y económico","Coordinators of social and economic development","1522","4digit",62.0,"Coordinators and area managers of social and economic development"
54,"Coordinadores y jefes de área en centros de enseñanza y capacitación","Coordinators and area managers of teaching and training centers","Coordinadores y jefes de área en centros de enseñanza y capacitación","Coordinators of teaching and training centers","1523","4digit",62.0,"Coordinators and area managers of teaching and training centers"
55,"Coordinadores y jefes de área en servicios legales, jueces calificadores y fiscales","Coordinators and area managers of legal services, qualifying judges and prosecutors","Coordinadores y jefes de área en servicios legales, jueces calificadores y fiscales","Managers of legal services, qualifying judges and prosecutors","1524","4digit",62.0,"Coordinators and area managers of legal services, qualifying judges and prosecutors"
56,"Capitanes, tenientes y jefes de área de las fuerzas armadas","Captains, lieutenants and area officials of the armed forces","Capitanes, tenientes y jefes de área de las fuerzas armadas","Captains, lieutenants and area officials of the armed forces","1525","4digit",62.0,"Captains, lieutenants and area officials of the armed forces"
57,"Coordinadores y jefes de área en servicios de vigilancia y seguridad","Coordinators and area managers of surveillance and security services","Coordinadores y jefes de área en servicios de vigilancia y seguridad","Coordinators of surveillance and security services","1526","4digit",62.0,"Coordinators and area managers of surveillance and security services"
58,"Coordinadores y jefes de área en producción y tecnología","Coordinators and area managers of production and technology","Coordinadores y jefes de área en producción y tecnología","Coordinators and area managers of production and technology","16","2digit",0.0,"Coordinators and area managers of production and technology"
59,"Coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento","Coordinators and area managers of agricultural production, industry, construction and maintenance","Coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento","Coordinators of agricultural production and construction","161","3digit",72.0,"Coordinators and area managers of agricultural production, industry, construction and maintenance"
60,"Coordinadores y jefes de área en producción agropecuaria, silvícola y pesquera","Coordinators and area managers of agricultural, forestry and fishing production","Coordinadores y jefes de área en producción agropecuaria, silvícola y pesquera","Coordinators of agricultural, forestry and fishing production","1611","4digit",73.0,"Coordinators and area managers of agricultural, forestry and fishing production"
61,"Coordinadores y jefes de área en producción minera, petrolera y gas","Coordinators and area managers of mining, oil and gas production","Coordinadores y jefes de área en producción minera, petrolera y gas","Coordinators of mining, oil and gas production","1612","4digit",73.0,"Coordinators and area managers of mining, oil and gas production"
62,"Coordinadores y jefes de área en generación y provisión de energía eléctrica y agua","Coordinators and area managers of generation and supply of electricity and water","Coordinadores y jefes de área en generación y provisión de energía eléctrica y agua","Coordinators of water and electricity supply and generation","1613","4digit",73.0,"Coordinators and area managers of generation and supply of electricity and water"
63,"Coordinadores y jefes de área en producción manufacturera","Coordinators and area managers of manufacturing","Coordinadores y jefes de área en producción manufacturera","Coordinators and area managers of manufacturing","1614","4digit",73.0,"Coordinators and area managers of manufacturing"
64,"Coordinadores y jefes de área en construcción, reparación y mantenimiento","Coordinators and area managers of construction, repairs and maintenance","Coordinadores y jefes de área en construcción, reparación y mantenimiento","Coordinators of construction, repairs and maintenance","1615","4digit",73.0,"Coordinators and area managers of construction, repairs and maintenance"
65,"Otros coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento, no clasificados anteriormente","Other coordinators and area managers of agricultural and industrial production, construction and maintenance, not included above","Otros coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento, no clasificados anteriormente","Other coords. of agricult., industry, construction and maint.","1619","4digit",73.0,"Other coordinators and area managers of agricultural and industrial production, construction and maintenance, not included above"
66,"Coordinadores y jefes de área en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico","Coordinators and area managers of IT, telecommunications, transport and technological research and development","Coordinadores y jefes de área en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico","Coordinators of ICT, transport and technological R&D","162","3digit",72.0,"Coordinators and area managers of IT, telecommunications, transport and technological research and development"
67,"Coordinadores y jefes de área en informática","Coordinators and area managers in informatics","Coordinadores y jefes de área en informática","Coordinators and area managers in informatics","1621","4digit",85.0,"Coordinators and area managers in informatics"
68,"Coordinadores y jefes de área en comunicación y telecomunicaciones","Coordinators and area managers in communication and telecommunications","Coordinadores y jefes de área en comunicación y telecomunicaciones","Coordinators in communication and telecommunications","1622","4digit",85.0,"Coordinators and area managers in communication and telecommunications"
69,"Coordinadores y jefes de área en servicios de transporte","Coordinators and area managers of transport services","Coordinadores y jefes de área en servicios de transporte","Coordinators and area managers of transport services","1623","4digit",85.0,"Coordinators and area managers of transport services"
70,"Coordinadores y jefes de área en centros de investigación y desarrollo tecnológico","Coordinators and area managers of technological research and development centers","Coordinadores y jefes de área en centros de investigación y desarrollo tecnológico","Coordinators of technological R&D centers","1624","4digit",85.0,"Coordinators and area managers of technological research and development centers"
71,"Otros coordinadores y jefes de área en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico, no clasificados anteriormente","Other coordinators and area managers of IT, telecommunications, transport and technological research and development, not included above","Otros coordinadores y jefes de área en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico, no clasificados anteriormente","Other coordinators of ICT, transport and technological R&D","1629","4digit",85.0,"Other coordinators and area managers of IT, telecommunications, transport and technological research and development, not included above"
72,"Coordinadores y jefes de área de ventas, restaurantes, hoteles y otros establecimientos","Coordinators and area managers of sales, restaurants, hotels and other commercial establishments","Coordinadores y jefes de área de ventas, restaurantes, hoteles y otros establecimientos","Coordinators of commercial establishments","17","2digit",0.0,"Coordinators and area managers of sales, restaurants, hotels and other commercial establishments"
73,"Coordinadores y jefes de área de ventas, restaurantes y hoteles","Coordinators and area managers of sales, restaurants and hotels","Coordinadores y jefes de área de ventas, restaurantes y hoteles","Coordinators of sales, restaurants and hotels","171","3digit",97.0,"Coordinators and area managers of sales, restaurants and hotels"
74,"Coordinadores y jefes de área de ventas, comercialización y alquiler","Coordinators and area managers of sales, marketing and renting","Coordinadores y jefes de área de ventas, comercialización y alquiler","Coordinators of sales, marketing and renting","1711","4digit",99.0,"Coordinators and area managers of sales, marketing and renting"
75,"Coordinadores y jefes de área de restaurantes y hoteles","Coordinators and area managers of restaurants and hotels","Coordinadores y jefes de área de restaurantes y hoteles","Coordinators and area managers of restaurants and hotels","1712","4digit",99.0,"Coordinators and area managers of restaurants and hotels"
76,"Coordinadores y jefes de área en museos, cines y otros establecimientos","Coordinators and area managers of museums, theaters and other institutions","Coordinadores y jefes de área en museos, cines y otros establecimientos","Coordinators of museums, theaters and other institutions","172","3digit",97.0,"Coordinators and area managers of museums, theaters and other institutions"
77,"Coordinadores y jefes de área en actividades artísticas, de cine, teatro y afines","Coordinators and area managers in artistic activities, film, theater and related subjects","Coordinadores y jefes de área en actividades artísticas, de cine, teatro y afines","Coordinators in artistic activities and related subjects","1721","4digit",102.0,"Coordinators and area managers in artistic activities, film, theater and related subjects"
78,"Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales","Coordinators and area managers of museums, theaters and other sports and cultural institutions","Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales","Coordinators of entertainment, sports and culture","1722","4digit",102.0,"Coordinators and area managers of museums, theaters and other sports and cultural institutions"
79,"Coordinadores y jefes de área en servicios funerarios y otros servicios","Coordinators and area managers of funeral and similar services","Coordinadores y jefes de área en servicios funerarios y otros servicios","Coordinators of funeral and similar services","1723","4digit",102.0,"Coordinators and area managers of funeral and similar services"
80,"Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente","Other directors, officers, managers, coordinators and department heads, not included above","Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente","Other directors, officers, managers, coords. and dept. heads","19","2digit",0.0,"Other directors, officers, managers, coordinators and department heads, not included above"
81,"Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente","Other directors, officers, managers, coordinators and department heads, not included above","Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente","Other directors, officers, managers, coords. and dept. heads","199","3digit",108.0,"Other directors, officers, managers, coordinators and department heads, not included above"
82,"Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente","Other directors, officers, managers, coordinators and department heads, not included above","Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente","Other directors, officers, managers, coords. and dept. heads","1999","4digit",110.0,"Other directors, officers, managers, coordinators and department heads, not included above"
83,"Profesionistas y técnicos","Professionals and technicians","Profesionistas y técnicos","Professionals and technicians","2","1digit","","Professionals and technicians"
84,"Administradores y mercadólogos","Administrators and marketers","Administradores y mercadólogos","Administrators and marketers","21","2digit",114.0,"Administrators and marketers"
85,"Administradores y mercadólogos","Administrators and marketers","Administradores y mercadólogos","Administrators and marketers","211","3digit",115.0,"Administrators and marketers"
86,"Administradores y especialistas en recursos humanos y sistemas de gestión","Administrators and specialists in human resources and management systems","Administradores y especialistas en recursos humanos y sistemas de gestión","Administrators and specialists in HR and management systems","2111","4digit",116.0,"Administrators and specialists in human resources and management systems"
87,"Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior","Specialists and consultants in marketing, advertising, communication and external trade","Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior","Specialists in marketing, communication and external trade","2112","4digit",116.0,"Specialists and consultants in marketing, advertising, communication and external trade"
88,"Especialistas en hotelería y turismo","Specialists in hospitality and tourism","Especialistas en hotelería y turismo","Specialists in hospitality and tourism","2113","4digit",116.0,"Specialists in hospitality and tourism"
89,"Contadores, auditores, especialistas en finanzas y en economía","Accountants, auditors, specialists in finance and economics","Contadores, auditores, especialistas en finanzas y en economía","Accountants, auditors, specialists in finance and economics","212","3digit",115.0,"Accountants, auditors, specialists in finance and economics"
90,"Contadores y auditores","Accountants and auditors","Contadores y auditores","Accountants and auditors","2121","4digit",122.0,"Accountants and auditors"
91,"Asesores y analistas en finanzas","Financial advisors and analysts","Asesores y analistas en finanzas","Financial advisors and analysts","2122","4digit",122.0,"Financial advisors and analysts"
92,"Economistas, consultores e investigadores en política económica","Economists, consultants and researchers in economic policy","Economistas, consultores e investigadores en política económica","Economists, consultants and researchers in economic policy","2123","4digit",122.0,"Economists, consultants and researchers in economic policy"
93,"Investigadores y especialistas en ciencias sociales","Researchers and specialists in social sciences","Investigadores y especialistas en ciencias sociales","Researchers and specialists in social sciences","213","3digit",115.0,"Researchers and specialists in social sciences"
94,"Antropólogos, arqueólogos e historiadores","Anthropologists, archaeologists and historians","Antropólogos, arqueólogos e historiadores","Anthropologists, archaeologists and historians","2131","4digit",126.0,"Anthropologists, archaeologists and historians"
95,"Investigadores y especialistas en sociología y desarrollo social","Researchers and specialists in sociology and social development","Investigadores y especialistas en sociología y desarrollo social","Specialists in sociology and social development","2132","4digit",126.0,"Researchers and specialists in sociology and social development"
96,"Investigadores y especialistas en ciencias políticas y administración pública","Researchers and specialists in political science and public administration","Investigadores y especialistas en ciencias políticas y administración pública","Specialists in political science and public administration","2133","4digit",126.0,"Researchers and specialists in political science and public administration"
97,"Geógrafos","Geographers","Geógrafos","Geographers","2134","4digit",126.0,"Geographers"
98,"Abogados","Lawyers","Abogados","Lawyers","2135","4digit",126.0,"Lawyers"
99,"Investigadores y especialistas en ciencias humanistas","Researchers and specialists in human sciences","Investigadores y especialistas en ciencias humanistas","Researchers and specialists in human sciences","214","3digit",115.0,"Researchers and specialists in human sciences"
100,"Investigadores y especialistas en filosofía y letras (filólogos)","Researchers and specialists in philosophy and literature (philologists)","Investigadores y especialistas en filosofía y letras (filólogos)","Specialists in philosophy and literature (philologists)","2141","4digit",132.0,"Researchers and specialists in philosophy and literature (philologists)"
101,"Psicólogos","Psychologists","Psicólogos","Psychologists","2142","4digit",132.0,"Psychologists"
102,"Especialistas en trabajo social","Social work specialists","Especialistas en trabajo social","Social work specialists","2143","4digit",132.0,"Social work specialists"
103,"Especialistas en archivonomía, biblioteconomía y museografía","Archival sciences, library and museum specialists","Especialistas en archivonomía, biblioteconomía y museografía","Archival sciences, library and museum specialists","2144","4digit",132.0,"Archival sciences, library and museum specialists"
104,"Sacerdotes, pastores y otros teólogos","Priests, pastors and other theologians","Sacerdotes, pastores y otros teólogos","Priests, pastors and other theologians","2145","4digit",132.0,"Priests, pastors and other theologians"
105,"Autores, periodistas y traductores","Authors, journalists and translators","Autores, periodistas y traductores","Authors, journalists and translators","215","3digit",115.0,"Authors, journalists and translators"
106,"Escritores y críticos literarios","Writers and literary critics","Escritores y críticos literarios","Writers and literary critics","2151","4digit",140.0,"Writers and literary critics"
107,"Periodistas y redactores","Journalists and editors","Periodistas y redactores","Journalists and editors","2152","4digit",140.0,"Journalists and editors"
108,"Traductores e intérpretes","Translators and interpreters","Traductores e intérpretes","Translators and interpreters","2153","4digit",140.0,"Translators and interpreters"
109,"Pintores, diseñadores y dibujantes artísticos, escultores y escenógrafos","Painters, designers and artistic cartoonists, sculptors and scenographers","Pintores, diseñadores y dibujantes artísticos, escultores y escenógrafos","Designers, artistists, cartoonists, and scenographers","216","3digit",115.0,"Painters, designers and artistic cartoonists, sculptors and scenographers"
110,"Pintores","Painters","Pintores","Painters","2161","4digit",144.0,"Painters"
111,"Dibujantes y diseñadores artísticos, ilustradores y grabadores","Cartoonists and artistic designers, illustrators and engravers","Dibujantes y diseñadores artísticos, ilustradores y grabadores","Cartoonists, artistic designers and engravers","2162","4digit",144.0,"Cartoonists and artistic designers, illustrators and engravers"
112,"Escultores","Sculptors","Escultores","Sculptors","2163","4digit",144.0,"Sculptors"
113,"Escenógrafos","Scenographers","Escenógrafos","Scenographers","2164","4digit",144.0,"Scenographers"
114,"Artistas interpretativos","Performing artists","Artistas interpretativos","Performing artists","217","3digit",115.0,"Performing artists"
115,"Compositores y arreglistas","Composers and arrangers","Compositores y arreglistas","Composers and arrangers","2171","4digit",149.0,"Composers and arrangers"
116,"Músicos","Musicians","Músicos","Musicians","2172","4digit",149.0,"Musicians"
117,"Cantantes","Singers","Cantantes","Singers","2173","4digit",149.0,"Singers"
118,"Bailarines y coreógrafos","Dancers and choreographers","Bailarines y coreógrafos","Dancers and choreographers","2174","4digit",149.0,"Dancers and choreographers"
119,"Actores","Actors","Actores","Actors","2175","4digit",149.0,"Actors"
120,"Investigadores y especialistas en ciencias exactas, biológicas, ingeniería, informática y en telecomunicaciones","Researchers and specialists in exact sciences, biological sciences, engineering, informatics and telecommunications","Investigadores y especialistas en ciencias exactas, biológicas, ingeniería, informática y en telecomunicaciones","Specialists in sciences, engineering, and ICT","22","2digit",114.0,"Researchers and specialists in exact sciences, biological sciences, engineering, informatics and telecommunications"
121,"Investigadores y especialistas en física, matemáticas, estadística y actuaría","Researchers and specialists in physics, mathematics, statistics and actuary","Investigadores y especialistas en física, matemáticas, estadística y actuaría","Specialists in physics, mathematics, statistics and actuary","221","3digit",155.0,"Researchers and specialists in physics, mathematics, statistics and actuary"
122,"Investigadores y especialistas en física","Researchers and specialists in physics","Investigadores y especialistas en física","Researchers and specialists in physics","2211","4digit",157.0,"Researchers and specialists in physics"
123,"Investigadores y especialistas en matemáticas, estadística y actuaría","Researchers and specialists in mathematics, statistics and actuary","Investigadores y especialistas en matemáticas, estadística y actuaría","Specialists in mathematics, statistics and actuary","2212","4digit",157.0,"Researchers and specialists in mathematics, statistics and actuary"
124,"Investigadores y especialistas en ciencias biológicas, químicas y del medio ambiente","Researchers and specialists in biological, chemical and environmental sciences","Investigadores y especialistas en ciencias biológicas, químicas y del medio ambiente","Specialists in biology, chemistry and environment","222","3digit",155.0,"Researchers and specialists in biological, chemical and environmental sciences"
125,"Biólogos y especialistas en ciencias del mar y oceanógrafos","Biologists, marine scientists and oceanographers","Biólogos y especialistas en ciencias del mar y oceanógrafos","Biologists, marine scientists and oceanographers","2221","4digit",160.0,"Biologists, marine scientists and oceanographers"
126,"Químicos","Experts in chemistry","Químicos","Experts in chemistry","2222","4digit",160.0,"Experts in chemistry"
127,"Ecólogos y especialistas en ciencias atmosféricas","Ecologists and specialists in atmospheric sciences","Ecólogos y especialistas en ciencias atmosféricas","Ecologists and specialists in atmospheric sciences","2223","4digit",160.0,"Ecologists and specialists in atmospheric sciences"
128,"Especialistas en ciencias agronómicas","Specialists in agronomy","Especialistas en ciencias agronómicas","Specialists in agronomy","223","3digit",155.0,"Specialists in agronomy"
129,"Agrónomos","Agronomists","Agrónomos","Agronomists","2231","4digit",165.0,"Agronomists"
130,"Veterinarios y zootecnistas","Veterinarians and zootechnicians","Veterinarios y zootecnistas","Veterinarians and zootechnicians","2232","4digit",165.0,"Veterinarians and zootechnicians"
